t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
1,764,311,capture,blue,right,54,2
2,764,311,capture,blue,right,54,2
3,764,311,capture,blue,right,54,2
4,764,311,capture,blue,right,54,2
5,764,311,capture,blue,right,54,2
6,828,320,capture,blue,right,54,2
7,828,320,capture,blue,right,54,2
8,828,320,capture,blue,right,54,2
9,828,320,capture,blue,right,54,2
10,828,320,capture,blue,right,54,2
11,828,320,capture,blue,right,54,2
12,828,320,capture,blue,right,54,2
13,809,330,capture,blue,right,54,2
14,809,330,capture,blue,right,54,2
15,809,330,capture,blue,right,54,2
16,809,330,capture,blue,right,54,2
17,809,330,capture,blue,right,54,2
18,809,330,capture,blue,right,54,2
19,809,330,capture,blue,right,54,2
20,809,330,capture,blue,right,54,2
21,809,330,capture,blue,right,54,2
22,809,330,capture,blue,right,54,2
23,809,330,capture,blue,right,54,2
24,806,330,capture,blue,right,54,2
25,806,330,capture,blue,right,54,2
26,806,330,capture,blue,right,54,2
27,806,330,capture,blue,right,54,2
28,806,330,capture,blue,right,54,2
29,806,330,capture,blue,right,54,2
30,809,323,capture,blue,right,54,2
31,809,323,capture,blue,right,54,2
32,809,323,capture,blue,right,54,2
33,802,328,capture,blue,right,54,2
34,802,328,capture,blue,right,54,2
35,802,328,capture,blue,right,54,2
36,807,324,capture,blue,right,54,2
37,803,326,capture,blue,right,54,2
38,803,326,capture,blue,right,54,2
39,803,326,capture,blue,right,54,2
40,803,326,capture,blue,right,54,2
41,803,325,capture,blue,right,54,2
42,803,325,capture,blue,right,54,2
43,803,325,capture,blue,right,54,2
44,803,325,capture,blue,right,54,2
45,803,325,capture,blue,right,54,2
46,803,325,capture,blue,right,54,2
47,803,325,capture,blue,right,54,2
48,802,325,capture,blue,right,54,2
49,802,325,capture,blue,right,54,2
50,802,325,capture,blue,right,54,2
51,803,325,capture,blue,right,54,2
52,803,325,capture,blue,right,54,2
53,803,325,capture,blue,right,54,2
54,802,326,capture,blue,right,54,2
55,802,327,capture,blue,right,54,2
56,803,327,capture,blue,right,54,2
57,803,327,capture,blue,right,54,2
58,803,327,capture,blue,right,54,2
59,803,327,capture,blue,right,54,2
60,803,327,capture,blue,right,54,2
61,803,327,capture,blue,right,54,2
62,803,327,capture,blue,right,54,2
63,803,327,capture,blue,right,54,2
64,803,327,capture,blue,right,54,2
65,803,327,capture,blue,right,54,2
66,803,327,capture,blue,right,54,2
67,803,327,capture,blue,right,54,2
68,803,327,capture,blue,right,54,2
69,801,330,capture,blue,right,54,2
70,801,330,capture,blue,right,54,2
71,801,330,capture,blue,right,54,2
72,801,330,capture,blue,right,54,2
73,801,330,capture,blue,right,54,2
74,801,330,capture,blue,right,54,2
75,801,330,capture,blue,right,54,2
76,801,330,capture,blue,right,54,2
77,801,338,capture,blue,right,54,2
78,801,338,capture,blue,right,54,2
79,804,341,capture,blue,right,54,2
80,804,342,capture,blue,right,54,2
81,804,342,capture,blue,right,54,2
82,804,342,capture,blue,right,54,2
83,804,342,capture,blue,right,54,2
84,804,342,capture,blue,right,54,2
85,807,354,capture,blue,right,54,2
86,807,354,capture,blue,right,54,2
87,807,354,capture,blue,right,54,2
88,811,357,capture,blue,right,54,2
89,811,357,capture,blue,right,54,2
90,810,358,capture,blue,right,54,2
91,810,358,capture,blue,right,54,2
92,810,358,capture,blue,right,54,2
93,806,360,capture,blue,right,54,2
94,805,358,capture,blue,right,54,2
95,804,360,capture,blue,right,54,2
96,804,359,capture,blue,right,54,2
97,804,359,capture,blue,right,54,2
98,804,360,capture,blue,right,54,2
99,806,357,capture,blue,right,54,2
100,809,358,capture,blue,right,54,2
101,807,353,capture,blue,right,54,2
102,807,353,capture,blue,right,54,2
103,811,356,capture,blue,right,54,2
104,811,356,capture,blue,right,54,2
105,811,356,capture,blue,right,54,2
106,811,356,capture,blue,right,54,2
107,811,356,capture,blue,right,54,2
108,812,337,capture,blue,right,54,2
109,812,337,capture,blue,right,54,2
110,812,337,capture,blue,right,54,2
111,812,337,capture,blue,right,54,2
112,808,344,capture,blue,right,54,2
113,808,344,capture,blue,right,54,2
114,808,344,capture,blue,right,54,2
115,808,344,capture,blue,right,54,2
116,813,364,capture,blue,right,54,2
117,814,360,capture,blue,right,54,2
118,814,360,capture,blue,right,54,2
119,819,369,capture,blue,right,54,2
120,819,369,capture,blue,right,54,2
121,821,376,capture,blue,right,54,2
122,821,376,capture,blue,right,54,2
123,822,385,gate,blue,right,54,2
124,825,385,gate,blue,right,54,2
125,835,393,gate,blue,right,54,2
126,834,393,gate,blue,right,54,2
127,829,391,gate,blue,right,54,2
128,829,391,gate,blue,right,54,2
129,822,387,gate,blue,right,54,2
130,831,387,gate,blue,right,54,2
131,826,388,gate,blue,right,54,2
132,829,409,gate,blue,right,54,2
133,826,397,gate,blue,right,54,2
134,826,396,gate,blue,right,54,2
135,825,388,gate,blue,right,54,2
136,822,382,capture,blue,right,54,2
137,822,374,capture,blue,right,54,2
138,821,397,gate,blue,right,54,2
139,824,392,gate,blue,right,54,2
140,824,392,gate,blue,right,54,2
141,824,392,gate,blue,right,54,2
142,826,372,capture,blue,right,54,2
143,824,369,capture,blue,right,54,2
144,823,364,capture,blue,right,54,2
145,818,368,capture,blue,right,54,2
146,807,357,capture,blue,right,54,2
147,804,358,capture,blue,right,54,2
148,801,362,capture,blue,right,54,2
149,803,357,capture,blue,right,54,2
150,794,358,capture,blue,right,54,2
151,800,362,capture,blue,right,54,2
152,790,355,capture,blue,right,54,2
153,787,347,capture,blue,right,54,2
154,786,353,capture,blue,right,54,2
155,788,351,capture,blue,right,54,2
156,798,358,capture,blue,right,54,2
157,790,354,capture,blue,right,54,2
158,792,355,capture,blue,right,54,2
159,789,354,capture,blue,right,54,2
160,790,353,capture,blue,right,54,2
161,790,353,capture,blue,right,54,2
162,789,354,capture,blue,right,54,2
163,792,353,capture,blue,right,54,2
164,791,357,capture,blue,right,54,2
165,792,356,capture,blue,right,54,2
166,787,356,capture,blue,right,54,2
167,782,354,capture,blue,right,54,2
168,782,354,capture,blue,right,54,2
169,782,354,capture,blue,right,54,2
170,789,354,capture,blue,right,54,2
171,789,354,capture,blue,right,54,2
172,785,355,capture,blue,right,54,2
173,785,355,capture,blue,right,54,2
174,781,352,capture,blue,right,54,2
175,784,353,capture,blue,right,54,2
176,782,353,capture,blue,right,54,2
177,776,346,capture,blue,right,54,2
178,776,346,capture,blue,right,54,2
179,769,343,capture,blue,right,54,2
180,765,343,capture,blue,right,54,2
181,765,342,capture,blue,right,54,2
182,770,341,capture,blue,right,54,2
183,765,338,capture,blue,right,54,2
184,758,340,capture,blue,right,54,2
185,749,338,capture,blue,right,54,2
186,748,335,capture,blue,right,54,2
187,735,334,capture,blue,right,54,2
188,739,336,capture,blue,right,54,2
189,749,332,capture,blue,right,54,2
190,742,338,capture,blue,right,54,2
191,737,339,capture,blue,right,54,2
192,732,338,capture,blue,right,54,2
193,744,335,capture,blue,right,54,2
194,740,339,capture,blue,right,54,2
195,747,337,capture,blue,right,54,2
196,741,335,capture,blue,right,54,2
197,744,333,capture,blue,right,54,2
198,737,332,capture,blue,right,54,2
199,737,330,capture,blue,right,54,2
200,737,330,capture,blue,right,54,2
201,736,327,capture,blue,right,54,2
202,736,327,capture,blue,right,54,2
203,737,324,capture,blue,right,54,2
204,736,326,capture,blue,right,54,2
205,735,324,capture,blue,right,54,2
206,753,332,capture,blue,right,54,2
207,735,325,capture,blue,right,54,2
208,737,325,capture,blue,right,54,2
209,737,325,capture,blue,right,54,2
210,736,322,capture,blue,right,54,2
211,735,321,capture,blue,right,54,2
212,734,320,capture,blue,right,54,2
213,738,319,capture,blue,right,54,2
214,734,319,capture,blue,right,54,2
215,739,320,capture,blue,right,54,2
216,735,321,capture,blue,right,54,2
217,711,265,capture,blue,right,54,2
218,735,321,capture,blue,right,54,2
219,733,318,capture,blue,right,54,2
220,737,322,capture,blue,right,54,2
221,735,319,capture,blue,right,54,2
222,734,319,capture,blue,right,54,2
223,734,319,capture,blue,right,54,2
224,735,321,capture,blue,right,54,2
225,736,323,capture,blue,right,54,2
226,740,320,capture,blue,right,54,2
227,740,320,capture,blue,right,54,2
228,740,320,capture,blue,right,54,2
229,737,323,capture,blue,right,54,2
230,741,320,capture,blue,right,54,2
231,741,320,capture,blue,right,54,2
232,737,328,capture,blue,right,54,2
233,740,328,capture,blue,right,54,2
234,741,330,capture,blue,right,54,2
235,743,331,capture,blue,right,54,2
236,743,331,capture,blue,right,54,2
237,743,331,capture,blue,right,54,2
238,743,331,capture,blue,right,54,2
239,743,331,capture,blue,right,54,2
240,743,331,capture,blue,right,54,2
241,743,331,capture,blue,right,54,2
242,743,331,capture,blue,right,54,2
243,751,330,capture,blue,right,54,2
244,752,333,capture,blue,right,54,2
245,752,331,capture,blue,right,54,2
246,752,331,capture,blue,right,54,2
247,752,331,capture,blue,right,54,2
248,752,331,capture,blue,right,54,2
249,752,331,capture,blue,right,54,2
250,741,325,capture,blue,right,54,2
251,741,325,capture,blue,right,54,2
252,742,326,capture,blue,right,54,2
253,747,319,capture,blue,right,54,2
254,747,320,capture,blue,right,54,2
255,751,317,capture,blue,right,54,2
256,751,319,capture,blue,right,54,2
257,750,320,capture,blue,right,54,2
258,752,315,capture,blue,right,54,2
259,754,321,capture,blue,right,54,2
260,752,322,capture,blue,right,54,2
261,762,317,capture,blue,right,54,2
262,762,317,capture,blue,right,54,2
263,762,317,capture,blue,right,54,2
264,766,321,capture,blue,right,54,2
265,766,321,capture,blue,right,54,2
266,766,320,capture,blue,right,54,2
267,766,320,capture,blue,right,54,2
268,772,317,capture,blue,right,54,2
269,772,317,capture,blue,right,54,2
270,769,323,capture,blue,right,54,2
271,771,323,capture,blue,right,54,2
272,769,322,capture,blue,right,54,2
273,769,322,capture,blue,right,54,2
274,769,322,capture,blue,right,54,2
275,761,316,capture,blue,right,54,2
276,757,318,capture,blue,right,54,2
277,756,317,capture,blue,right,54,2
278,757,318,capture,blue,right,54,2
279,757,318,capture,blue,right,54,2
280,757,318,capture,blue,right,54,2
281,760,318,capture,blue,right,54,2
282,761,320,capture,blue,right,54,2
283,765,321,capture,blue,right,54,2
284,764,321,capture,blue,right,54,2
285,766,322,capture,blue,right,54,2
286,766,322,capture,blue,right,54,2
287,766,321,capture,blue,right,54,2
288,764,319,capture,blue,right,54,2
289,762,318,capture,blue,right,54,2
290,762,319,capture,blue,right,54,2
291,763,319,capture,blue,right,54,2
292,760,316,capture,blue,right,54,2
293,757,314,capture,blue,right,54,2
294,757,314,capture,blue,right,54,2
295,754,316,capture,blue,right,54,2
296,755,314,capture,blue,right,54,2
297,753,314,capture,blue,right,54,2
298,753,317,capture,blue,right,54,2
299,753,311,capture,blue,right,54,2
300,750,312,capture,blue,right,54,2
301,746,305,capture,blue,right,54,2
302,746,305,capture,blue,right,54,2
303,743,308,capture,blue,right,54,2
304,743,308,capture,blue,right,54,2
305,743,308,capture,blue,right,54,2
306,739,301,capture,blue,right,54,2
307,739,305,capture,blue,right,54,2
308,738,301,capture,blue,right,54,2
309,739,300,capture,blue,right,54,2
310,740,303,capture,blue,right,54,2
311,739,302,capture,blue,right,54,2
312,740,302,capture,blue,right,54,2
313,740,298,capture,blue,right,54,2
314,741,299,capture,blue,right,54,2
315,744,299,capture,blue,right,54,2
316,743,299,capture,blue,right,54,2
317,745,297,capture,blue,right,54,2
318,745,297,capture,blue,right,54,2
319,745,297,capture,blue,right,54,2
320,740,301,capture,blue,right,54,2
321,743,299,capture,blue,right,54,2
322,743,299,capture,blue,right,54,2
323,743,299,capture,blue,right,54,2
324,743,299,capture,blue,right,54,2
325,744,298,capture,blue,right,54,2
326,743,301,capture,blue,right,54,2
327,741,298,capture,blue,right,54,2
328,743,295,capture,blue,right,54,2
329,743,297,capture,blue,right,54,2
330,743,297,capture,blue,right,54,2
331,744,297,capture,blue,right,54,2
332,741,304,capture,blue,right,54,2
333,740,304,capture,blue,right,54,2
334,742,302,capture,blue,right,54,2
335,737,310,capture,blue,right,54,2
336,742,309,capture,blue,right,54,2
337,739,312,capture,blue,right,54,2
338,743,313,capture,blue,right,54,2
339,745,315,capture,blue,right,54,2
340,747,317,capture,blue,right,54,2
341,746,315,capture,blue,right,54,2
342,742,312,capture,blue,right,54,2
343,744,313,capture,blue,right,54,2
344,744,313,capture,blue,right,54,2
345,746,312,capture,blue,right,54,2
346,750,317,capture,blue,right,54,2
347,740,313,capture,blue,right,54,2
348,744,313,capture,blue,right,54,2
349,737,314,capture,blue,right,54,2
350,734,314,capture,blue,right,54,2
351,732,312,capture,blue,right,54,2
352,734,311,capture,blue,right,54,2
353,732,310,capture,blue,right,54,2
354,732,310,capture,blue,right,54,2
355,730,298,capture,blue,right,54,2
356,725,292,capture,blue,right,54,2
357,722,307,capture,blue,right,54,2
358,721,292,capture,blue,right,54,2
359,718,292,capture,blue,right,54,2
360,719,308,capture,blue,right,54,2
361,717,308,capture,blue,right,54,2
362,716,297,capture,blue,right,54,2
363,717,309,capture,blue,right,54,2
364,716,303,capture,blue,right,54,2
365,718,306,capture,blue,right,54,2
366,712,299,capture,blue,right,54,2
367,711,298,capture,blue,right,54,2
368,702,309,capture,blue,right,54,2
369,704,307,capture,blue,right,54,2
370,705,301,capture,blue,right,54,2
371,704,307,capture,blue,right,54,2
372,707,302,capture,blue,right,54,2
373,707,311,capture,blue,right,54,2
374,710,298,capture,blue,right,54,2
375,707,309,capture,blue,right,54,2
376,710,306,capture,blue,right,54,2
377,712,299,capture,blue,right,54,2
378,712,299,capture,blue,right,54,2
379,712,299,capture,blue,right,54,2
380,712,299,capture,blue,right,54,2
381,712,299,capture,blue,right,54,2
382,712,299,capture,blue,right,54,2
383,712,299,capture,blue,right,54,2
384,711,298,capture,blue,right,54,2
385,710,298,capture,blue,right,54,2
386,710,298,capture,blue,right,54,2
387,710,298,capture,blue,right,54,2
388,710,298,capture,blue,right,54,2
389,710,298,capture,blue,right,54,2
390,709,298,capture,blue,right,54,2
391,709,298,capture,blue,right,54,2
392,709,298,capture,blue,right,54,2
393,709,298,capture,blue,right,54,2
394,709,298,capture,blue,right,54,2
395,709,299,capture,blue,right,54,2
396,709,299,capture,blue,right,54,2
397,709,299,capture,blue,right,54,2
398,709,299,capture,blue,right,54,2
399,709,299,capture,blue,right,54,2
400,709,299,capture,blue,right,54,2
401,709,299,capture,blue,right,54,2
402,709,299,capture,blue,right,54,2
403,709,299,capture,blue,right,54,2
404,709,299,capture,blue,right,54,2
405,709,299,capture,blue,right,54,2
406,709,299,capture,blue,right,54,2
407,709,299,capture,blue,right,54,2
408,709,299,capture,blue,right,54,2
409,709,299,capture,blue,right,54,2
410,709,299,capture,blue,right,54,2
411,709,299,capture,blue,right,54,2
412,707,305,capture,blue,right,54,2
413,707,297,capture,blue,right,54,2
414,707,297,capture,blue,right,54,2
415,707,299,capture,blue,right,54,2
416,707,299,capture,blue,right,54,2
417,707,299,capture,blue,right,54,2
418,707,299,capture,blue,right,54,2
419,706,300,capture,blue,right,54,2
420,706,300,capture,blue,right,54,2
421,706,300,capture,blue,right,54,2
422,706,300,capture,blue,right,54,2
423,706,306,capture,blue,right,54,2
424,706,306,capture,blue,right,54,2
425,706,306,capture,blue,right,54,2
426,706,306,capture,blue,right,54,2
427,706,306,capture,blue,right,54,2
428,706,298,capture,blue,right,54,2
429,706,298,capture,blue,right,54,2
430,706,298,capture,blue,right,54,2
431,706,298,capture,blue,right,54,2
432,705,305,capture,blue,right,54,2
433,705,305,capture,blue,right,54,2
434,705,305,capture,blue,right,54,2
435,705,305,capture,blue,right,54,2
436,705,297,capture,blue,right,54,2
437,705,305,capture,blue,right,54,2
438,705,305,capture,blue,right,54,2
439,705,305,capture,blue,right,54,2
440,705,305,capture,blue,right,54,2
441,705,305,capture,blue,right,54,2
442,705,305,capture,blue,right,54,2
443,705,305,capture,blue,right,54,2
444,705,305,capture,blue,right,54,2
445,705,305,capture,blue,right,54,2
446,705,305,capture,blue,right,54,2
