t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,788,321,capture,yellow,right,25,2
1,783,326,capture,yellow,right,25,2
2,771,346,capture,yellow,right,25,2
3,774,349,capture,yellow,right,25,2
4,771,344,capture,yellow,right,25,2
5,775,349,capture,yellow,right,25,2
6,776,349,capture,yellow,right,25,2
7,782,351,capture,yellow,right,25,2
8,799,354,capture,yellow,right,25,2
9,801,357,capture,yellow,right,25,2
10,803,357,capture,yellow,right,25,2
11,805,363,capture,yellow,right,25,2
12,800,365,capture,yellow,right,25,2
13,808,371,capture,yellow,right,25,2
14,812,379,capture,yellow,right,25,2
15,827,382,gate,yellow,right,25,2
16,825,379,capture,yellow,right,25,2
17,832,384,gate,yellow,right,25,2
18,839,389,gate,yellow,right,25,2
19,840,390,gate,yellow,right,25,2
20,852,404,gate,yellow,right,25,2
21,858,415,gate,yellow,right,25,2
22,865,419,gate_test,yellow,right,25,2
23,874,419,gate_test,yellow,right,25,2
24,876,426,gate_test,yellow,right,25,2
25,892,427,gate_test,yellow,right,25,2
26,893,419,gate_test,yellow,right,25,2
27,908,425,gate_test,yellow,right,25,2
28,925,434,gate_test,yellow,right,25,2
29,954,420,gate_test,yellow,right,25,2
30,952,411,gate_test,yellow,right,25,2
31,967,418,gate_test,yellow,right,25,2
32,999,428,test,yellow,right,25,2
33,1012,411,test,yellow,right,25,2
34,1003,398,test,yellow,right,25,2
35,1039,419,test,yellow,right,25,2
36,1041,419,test,yellow,right,25,2
37,1064,403,test,yellow,right,25,2
38,1059,405,test,yellow,right,25,2
39,1078,411,test,yellow,right,25,2
40,1089,415,test,yellow,right,25,2
41,1103,406,test,yellow,right,25,2
42,1115,403,test,yellow,right,25,2
43,1129,406,test,yellow,right,25,2
44,1144,413,test,yellow,right,25,2
45,1155,401,test,yellow,right,25,2
46,1183,400,test,yellow,right,25,2
47,1187,401,test,yellow,right,25,2
48,1197,409,test,yellow,right,25,2
49,1190,419,test,yellow,right,25,2
50,1193,430,test,yellow,right,25,2
51,1194,438,test,yellow,right,25,2
52,1214,448,test,yellow,right,25,2
