t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,786,316,capture,yellow,left,5,11
1,782,322,capture,yellow,left,5,11
2,796,372,capture,yellow,left,5,11
3,819,376,capture,yellow,left,5,11
4,817,382,capture,yellow,left,5,11
5,821,383,capture,yellow,left,5,11
6,822,384,point outside of all zones,yellow,left,5,11
7,820,386,gate,yellow,left,5,11
8,812,385,capture,yellow,left,5,11
9,814,385,capture,yellow,left,5,11
10,833,385,gate,yellow,left,5,11
11,835,386,gate,yellow,left,5,11
12,830,389,gate,yellow,left,5,11
13,835,395,gate,yellow,left,5,11
14,827,385,gate,yellow,left,5,11
15,843,403,gate,yellow,left,5,11
16,849,409,gate,yellow,left,5,11
17,848,410,gate,yellow,left,5,11
18,855,414,gate,yellow,left,5,11
19,860,415,gate_test,yellow,left,5,11
20,882,417,gate_test,yellow,left,5,11
21,864,412,gate_test,yellow,left,5,11
22,902,420,gate_test,yellow,left,5,11
23,903,424,gate_test,yellow,left,5,11
24,913,420,gate_test,yellow,left,5,11
25,938,414,gate_test,yellow,left,5,11
26,917,418,gate_test,yellow,left,5,11
27,933,414,gate_test,yellow,left,5,11
28,966,406,gate_test,yellow,left,5,11
29,971,404,gate_test,yellow,left,5,11
30,996,416,test,yellow,left,5,11
31,1014,419,test,yellow,left,5,11
32,1016,414,test,yellow,left,5,11
33,1034,414,test,yellow,left,5,11
34,1059,417,test,yellow,left,5,11
35,1080,419,test,yellow,left,5,11
36,1083,408,test,yellow,left,5,11
37,1090,402,test,yellow,left,5,11
38,1107,407,test,yellow,left,5,11
39,1127,405,test,yellow,left,5,11
40,1143,401,test,yellow,left,5,11
41,1157,398,test,yellow,left,5,11
42,1183,402,test,yellow,left,5,11
43,1189,404,test,yellow,left,5,11
44,1196,421,test,yellow,left,5,11
45,1204,436,test,yellow,left,5,11
46,1212,454,test,yellow,left,5,11
47,1217,460,test,yellow,left,5,11
48,1229,471,test,yellow,left,5,11
49,1243,494,branch_left,yellow,left,5,11
50,1253,499,branch_left,yellow,left,5,11
51,1269,521,branch_left,yellow,left,5,11
52,1277,524,branch_left,yellow,left,5,11
53,1292,546,branch_left,yellow,left,5,11
54,1306,556,branch_left,yellow,left,5,11
55,1314,561,branch_left,yellow,left,5,11
56,1325,587,branch_left,yellow,left,5,11
57,1324,594,branch_left,yellow,left,5,11
58,1329,606,branch_left,yellow,left,5,11
