t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,602,319,capture,yellow,right,47,8
1,602,319,capture,yellow,right,47,8
2,662,278,capture,yellow,right,47,8
3,658,285,capture,yellow,right,47,8
4,655,283,capture,yellow,right,47,8
5,663,284,capture,yellow,right,47,8
6,664,283,capture,yellow,right,47,8
7,662,284,capture,yellow,right,47,8
8,661,285,capture,yellow,right,47,8
9,658,285,capture,yellow,right,47,8
10,657,284,capture,yellow,right,47,8
11,657,284,capture,yellow,right,47,8
12,655,285,capture,yellow,right,47,8
13,656,285,capture,yellow,right,47,8
14,656,285,capture,yellow,right,47,8
15,656,284,capture,yellow,right,47,8
16,654,285,capture,yellow,right,47,8
17,656,284,capture,yellow,right,47,8
18,654,285,capture,yellow,right,47,8
19,655,285,capture,yellow,right,47,8
20,655,285,capture,yellow,right,47,8
21,654,285,capture,yellow,right,47,8
22,654,285,capture,yellow,right,47,8
23,656,285,capture,yellow,right,47,8
24,656,285,capture,yellow,right,47,8
25,655,284,capture,yellow,right,47,8
26,654,284,capture,yellow,right,47,8
27,654,285,capture,yellow,right,47,8
28,654,285,capture,yellow,right,47,8
29,654,285,capture,yellow,right,47,8
30,655,284,capture,yellow,right,47,8
31,655,285,capture,yellow,right,47,8
32,655,284,capture,yellow,right,47,8
33,651,285,capture,yellow,right,47,8
34,655,285,capture,yellow,right,47,8
35,655,285,capture,yellow,right,47,8
36,651,285,capture,yellow,right,47,8
37,655,285,capture,yellow,right,47,8
38,650,286,capture,yellow,right,47,8
39,656,286,capture,yellow,right,47,8
40,650,286,capture,yellow,right,47,8
41,655,285,capture,yellow,right,47,8
42,655,285,capture,yellow,right,47,8
43,655,286,capture,yellow,right,47,8
44,655,286,capture,yellow,right,47,8
45,655,286,capture,yellow,right,47,8
46,654,286,capture,yellow,right,47,8
47,654,286,capture,yellow,right,47,8
48,654,286,capture,yellow,right,47,8
49,654,286,capture,yellow,right,47,8
50,655,286,capture,yellow,right,47,8
51,655,286,capture,yellow,right,47,8
52,655,286,capture,yellow,right,47,8
53,655,286,capture,yellow,right,47,8
54,655,286,capture,yellow,right,47,8
55,655,287,capture,yellow,right,47,8
56,654,286,capture,yellow,right,47,8
57,654,286,capture,yellow,right,47,8
58,654,286,capture,yellow,right,47,8
59,654,286,capture,yellow,right,47,8
60,654,286,capture,yellow,right,47,8
61,655,286,capture,yellow,right,47,8
62,655,286,capture,yellow,right,47,8
63,655,286,capture,yellow,right,47,8
64,655,286,capture,yellow,right,47,8
65,655,286,capture,yellow,right,47,8
66,655,286,capture,yellow,right,47,8
67,655,286,capture,yellow,right,47,8
68,654,286,capture,yellow,right,47,8
69,655,286,capture,yellow,right,47,8
70,654,287,capture,yellow,right,47,8
71,655,286,capture,yellow,right,47,8
72,655,286,capture,yellow,right,47,8
73,655,286,capture,yellow,right,47,8
74,655,286,capture,yellow,right,47,8
75,655,286,capture,yellow,right,47,8
76,655,286,capture,yellow,right,47,8
77,655,286,capture,yellow,right,47,8
78,655,286,capture,yellow,right,47,8
79,655,286,capture,yellow,right,47,8
80,655,287,capture,yellow,right,47,8
81,655,287,capture,yellow,right,47,8
82,659,287,capture,yellow,right,47,8
83,655,287,capture,yellow,right,47,8
84,655,287,capture,yellow,right,47,8
85,655,287,capture,yellow,right,47,8
86,655,287,capture,yellow,right,47,8
87,655,287,capture,yellow,right,47,8
88,655,287,capture,yellow,right,47,8
89,655,287,capture,yellow,right,47,8
90,655,287,capture,yellow,right,47,8
91,654,287,capture,yellow,right,47,8
92,654,287,capture,yellow,right,47,8
93,655,287,capture,yellow,right,47,8
94,654,287,capture,yellow,right,47,8
95,654,287,capture,yellow,right,47,8
96,655,287,capture,yellow,right,47,8
97,655,287,capture,yellow,right,47,8
98,661,286,capture,yellow,right,47,8
99,655,286,capture,yellow,right,47,8
100,655,286,capture,yellow,right,47,8
101,659,286,capture,yellow,right,47,8
102,659,286,capture,yellow,right,47,8
103,659,286,capture,yellow,right,47,8
104,659,286,capture,yellow,right,47,8
105,659,286,capture,yellow,right,47,8
106,659,286,capture,yellow,right,47,8
107,659,286,capture,yellow,right,47,8
108,659,287,capture,yellow,right,47,8
109,659,286,capture,yellow,right,47,8
110,659,286,capture,yellow,right,47,8
111,659,286,capture,yellow,right,47,8
112,659,286,capture,yellow,right,47,8
113,659,286,capture,yellow,right,47,8
114,659,287,capture,yellow,right,47,8
115,659,286,capture,yellow,right,47,8
116,659,286,capture,yellow,right,47,8
117,659,286,capture,yellow,right,47,8
118,659,286,capture,yellow,right,47,8
119,659,287,capture,yellow,right,47,8
120,659,287,capture,yellow,right,47,8
121,658,286,capture,yellow,right,47,8
122,659,287,capture,yellow,right,47,8
123,658,287,capture,yellow,right,47,8
124,658,287,capture,yellow,right,47,8
125,659,287,capture,yellow,right,47,8
126,661,287,capture,yellow,right,47,8
127,661,286,capture,yellow,right,47,8
128,660,286,capture,yellow,right,47,8
129,658,286,capture,yellow,right,47,8
130,658,286,capture,yellow,right,47,8
131,657,286,capture,yellow,right,47,8
132,668,287,capture,yellow,right,47,8
133,661,286,capture,yellow,right,47,8
134,661,286,capture,yellow,right,47,8
135,657,286,capture,yellow,right,47,8
136,658,286,capture,yellow,right,47,8
137,658,286,capture,yellow,right,47,8
138,657,286,capture,yellow,right,47,8
139,658,286,capture,yellow,right,47,8
140,658,286,capture,yellow,right,47,8
141,658,286,capture,yellow,right,47,8
142,658,286,capture,yellow,right,47,8
143,658,286,capture,yellow,right,47,8
144,659,285,capture,yellow,right,47,8
145,658,285,capture,yellow,right,47,8
146,658,286,capture,yellow,right,47,8
