t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,557,319,capture,yellow,left,1,16
1,557,319,capture,yellow,left,1,16
2,557,319,capture,yellow,left,1,16
3,655,276,capture,yellow,left,1,16
4,648,274,capture,yellow,left,1,16
5,650,276,capture,yellow,left,1,16
6,651,278,capture,yellow,left,1,16
7,670,279,capture,yellow,left,1,16
8,651,278,capture,yellow,left,1,16
9,670,280,capture,yellow,left,1,16
10,651,279,capture,yellow,left,1,16
11,669,280,capture,yellow,left,1,16
12,669,281,capture,yellow,left,1,16
13,651,280,capture,yellow,left,1,16
14,669,281,capture,yellow,left,1,16
15,669,282,capture,yellow,left,1,16
16,668,283,capture,yellow,left,1,16
17,651,287,capture,yellow,left,1,16
18,652,287,capture,yellow,left,1,16
19,651,287,capture,yellow,left,1,16
20,660,277,capture,yellow,left,1,16
21,652,282,capture,yellow,left,1,16
22,669,268,capture,yellow,left,1,16
23,662,277,capture,yellow,left,1,16
24,670,284,capture,yellow,left,1,16
25,670,284,capture,yellow,left,1,16
26,654,283,capture,yellow,left,1,16
27,671,285,capture,yellow,left,1,16
28,671,285,capture,yellow,left,1,16
29,650,288,capture,yellow,left,1,16
30,650,288,capture,yellow,left,1,16
31,650,288,capture,yellow,left,1,16
32,650,288,capture,yellow,left,1,16
33,650,288,capture,yellow,left,1,16
34,650,288,capture,yellow,left,1,16
35,656,295,capture,yellow,left,1,16
36,657,287,capture,yellow,left,1,16
37,658,285,capture,yellow,left,1,16
38,658,286,capture,yellow,left,1,16
39,657,285,capture,yellow,left,1,16
40,657,292,capture,yellow,left,1,16
41,657,292,capture,yellow,left,1,16
42,656,294,capture,yellow,left,1,16
43,656,293,capture,yellow,left,1,16
44,656,294,capture,yellow,left,1,16
45,657,287,capture,yellow,left,1,16
46,656,293,capture,yellow,left,1,16
47,656,287,capture,yellow,left,1,16
48,656,287,capture,yellow,left,1,16
49,656,292,capture,yellow,left,1,16
50,656,286,capture,yellow,left,1,16
51,656,286,capture,yellow,left,1,16
52,656,293,capture,yellow,left,1,16
53,657,293,capture,yellow,left,1,16
54,656,286,capture,yellow,left,1,16
55,656,285,capture,yellow,left,1,16
56,656,285,capture,yellow,left,1,16
