t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,550,334,capture,yellow,right,5,5
1,558,333,capture,yellow,right,5,5
2,568,288,capture,yellow,right,5,5
3,585,275,capture,yellow,right,5,5
4,602,276,capture,yellow,right,5,5
5,607,277,capture,yellow,right,5,5
6,600,278,capture,yellow,right,5,5
7,600,282,capture,yellow,right,5,5
8,591,281,capture,yellow,right,5,5
9,591,281,capture,yellow,right,5,5
10,600,282,capture,yellow,right,5,5
11,587,279,capture,yellow,right,5,5
12,587,279,capture,yellow,right,5,5
13,587,279,capture,yellow,right,5,5
14,590,278,capture,yellow,right,5,5
15,589,279,capture,yellow,right,5,5
16,589,282,capture,yellow,right,5,5
17,589,280,capture,yellow,right,5,5
18,589,281,capture,yellow,right,5,5
19,589,281,capture,yellow,right,5,5
20,590,280,capture,yellow,right,5,5
21,588,275,capture,yellow,right,5,5
22,588,275,capture,yellow,right,5,5
23,589,275,capture,yellow,right,5,5
24,587,274,capture,yellow,right,5,5
25,589,276,capture,yellow,right,5,5
26,585,268,capture,yellow,right,5,5
27,583,273,capture,yellow,right,5,5
28,584,273,capture,yellow,right,5,5
29,583,271,capture,yellow,right,5,5
30,586,271,capture,yellow,right,5,5
31,585,267,capture,yellow,right,5,5
32,589,267,capture,yellow,right,5,5
33,587,266,capture,yellow,right,5,5
34,589,265,capture,yellow,right,5,5
35,590,268,capture,yellow,right,5,5
36,590,266,capture,yellow,right,5,5
37,596,269,capture,yellow,right,5,5
38,598,268,capture,yellow,right,5,5
39,600,277,capture,yellow,right,5,5
40,601,276,capture,yellow,right,5,5
41,602,275,capture,yellow,right,5,5
42,601,274,capture,yellow,right,5,5
43,603,280,capture,yellow,right,5,5
44,601,275,capture,yellow,right,5,5
45,600,276,capture,yellow,right,5,5
46,600,277,capture,yellow,right,5,5
47,597,278,capture,yellow,right,5,5
48,595,279,capture,yellow,right,5,5
49,596,277,capture,yellow,right,5,5
50,601,283,capture,yellow,right,5,5
51,612,287,capture,yellow,right,5,5
52,607,279,capture,yellow,right,5,5
53,610,281,capture,yellow,right,5,5
54,610,280,capture,yellow,right,5,5
55,606,275,capture,yellow,right,5,5
56,612,274,capture,yellow,right,5,5
57,613,265,capture,yellow,right,5,5
58,635,272,capture,yellow,right,5,5
59,634,273,capture,yellow,right,5,5
60,626,274,capture,yellow,right,5,5
61,631,275,capture,yellow,right,5,5
62,622,279,capture,yellow,right,5,5
63,636,273,capture,yellow,right,5,5
64,634,274,capture,yellow,right,5,5
65,634,275,capture,yellow,right,5,5
66,632,274,capture,yellow,right,5,5
67,644,289,capture,yellow,right,5,5
68,652,280,capture,yellow,right,5,5
69,652,276,capture,yellow,right,5,5
70,652,276,capture,yellow,right,5,5
71,642,299,capture,yellow,right,5,5
72,628,289,capture,yellow,right,5,5
73,635,277,capture,yellow,right,5,5
74,621,280,capture,yellow,right,5,5
75,627,279,capture,yellow,right,5,5
76,618,280,capture,yellow,right,5,5
77,614,274,capture,yellow,right,5,5
78,615,278,capture,yellow,right,5,5
79,612,282,capture,yellow,right,5,5
80,611,282,capture,yellow,right,5,5
81,608,279,capture,yellow,right,5,5
82,605,278,capture,yellow,right,5,5
83,604,278,capture,yellow,right,5,5
84,601,279,capture,yellow,right,5,5
85,616,278,capture,yellow,right,5,5
86,601,278,capture,yellow,right,5,5
87,605,278,capture,yellow,right,5,5
88,605,278,capture,yellow,right,5,5
89,605,278,capture,yellow,right,5,5
90,607,290,capture,yellow,right,5,5
91,607,290,capture,yellow,right,5,5
92,608,290,capture,yellow,right,5,5
