t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,628,320,capture,blue,right,12,7
1,636,318,capture,blue,right,12,7
2,699,300,capture,blue,right,12,7
3,717,310,capture,blue,right,12,7
4,716,310,capture,blue,right,12,7
5,714,312,capture,blue,right,12,7
6,713,310,capture,blue,right,12,7
7,711,311,capture,blue,right,12,7
8,713,311,capture,blue,right,12,7
9,718,305,capture,blue,right,12,7
10,717,302,capture,blue,right,12,7
11,716,300,capture,blue,right,12,7
12,723,294,capture,blue,right,12,7
13,715,301,capture,blue,right,12,7
14,715,300,capture,blue,right,12,7
15,714,301,capture,blue,right,12,7
16,714,300,capture,blue,right,12,7
17,719,293,capture,blue,right,12,7
18,728,289,capture,blue,right,12,7
19,721,296,capture,blue,right,12,7
20,721,296,capture,blue,right,12,7
21,712,300,capture,blue,right,12,7
22,710,311,capture,blue,right,12,7
23,710,299,capture,blue,right,12,7
24,710,299,capture,blue,right,12,7
25,711,297,capture,blue,right,12,7
26,711,297,capture,blue,right,12,7
27,711,298,capture,blue,right,12,7
28,711,298,capture,blue,right,12,7
29,707,296,capture,blue,right,12,7
30,706,296,capture,blue,right,12,7
31,710,293,capture,blue,right,12,7
32,708,292,capture,blue,right,12,7
33,709,292,capture,blue,right,12,7
34,710,294,capture,blue,right,12,7
35,711,293,capture,blue,right,12,7
36,713,297,capture,blue,right,12,7
37,696,316,capture,blue,right,12,7
38,713,298,capture,blue,right,12,7
39,712,297,capture,blue,right,12,7
40,720,299,capture,blue,right,12,7
41,719,297,capture,blue,right,12,7
42,720,310,capture,blue,right,12,7
43,723,296,capture,blue,right,12,7
44,725,301,capture,blue,right,12,7
45,729,294,capture,blue,right,12,7
46,729,309,capture,blue,right,12,7
47,729,310,capture,blue,right,12,7
48,731,295,capture,blue,right,12,7
49,731,313,capture,blue,right,12,7
50,729,318,capture,blue,right,12,7
51,725,325,capture,blue,right,12,7
52,737,319,capture,blue,right,12,7
53,738,316,capture,blue,right,12,7
54,737,313,capture,blue,right,12,7
55,739,304,capture,blue,right,12,7
56,738,302,capture,blue,right,12,7
57,743,294,capture,blue,right,12,7
58,743,300,capture,blue,right,12,7
59,741,312,capture,blue,right,12,7
60,743,308,capture,blue,right,12,7
61,744,310,capture,blue,right,12,7
62,745,307,capture,blue,right,12,7
63,745,308,capture,blue,right,12,7
64,746,306,capture,blue,right,12,7
65,746,305,capture,blue,right,12,7
66,746,313,capture,blue,right,12,7
67,744,314,capture,blue,right,12,7
68,744,315,capture,blue,right,12,7
69,745,317,capture,blue,right,12,7
70,745,317,capture,blue,right,12,7
71,746,320,capture,blue,right,12,7
72,746,319,capture,blue,right,12,7
73,746,320,capture,blue,right,12,7
74,746,322,capture,blue,right,12,7
75,746,322,capture,blue,right,12,7
76,757,300,capture,blue,right,12,7
77,746,323,capture,blue,right,12,7
78,747,325,capture,blue,right,12,7
79,747,323,capture,blue,right,12,7
80,748,322,capture,blue,right,12,7
81,747,323,capture,blue,right,12,7
82,747,324,capture,blue,right,12,7
83,747,324,capture,blue,right,12,7
84,748,324,capture,blue,right,12,7
85,748,324,capture,blue,right,12,7
86,747,324,capture,blue,right,12,7
87,746,324,capture,blue,right,12,7
88,746,324,capture,blue,right,12,7
89,747,325,capture,blue,right,12,7
90,747,325,capture,blue,right,12,7
91,747,324,capture,blue,right,12,7
92,747,327,capture,blue,right,12,7
93,748,327,capture,blue,right,12,7
94,746,322,capture,blue,right,12,7
95,748,321,capture,blue,right,12,7
96,747,322,capture,blue,right,12,7
97,749,313,capture,blue,right,12,7
98,747,316,capture,blue,right,12,7
99,747,321,capture,blue,right,12,7
100,748,322,capture,blue,right,12,7
101,748,316,capture,blue,right,12,7
102,748,322,capture,blue,right,12,7
103,748,323,capture,blue,right,12,7
104,748,323,capture,blue,right,12,7
105,749,323,capture,blue,right,12,7
106,749,325,capture,blue,right,12,7
107,749,325,capture,blue,right,12,7
108,750,326,capture,blue,right,12,7
109,750,325,capture,blue,right,12,7
110,750,325,capture,blue,right,12,7
111,750,325,capture,blue,right,12,7
112,750,327,capture,blue,right,12,7
113,750,327,capture,blue,right,12,7
114,750,327,capture,blue,right,12,7
115,749,327,capture,blue,right,12,7
116,757,308,capture,blue,right,12,7
117,750,327,capture,blue,right,12,7
118,749,327,capture,blue,right,12,7
119,749,326,capture,blue,right,12,7
120,750,325,capture,blue,right,12,7
121,749,331,capture,blue,right,12,7
122,749,325,capture,blue,right,12,7
123,750,326,capture,blue,right,12,7
124,749,333,capture,blue,right,12,7
125,750,333,capture,blue,right,12,7
126,750,334,capture,blue,right,12,7
127,750,334,capture,blue,right,12,7
128,750,334,capture,blue,right,12,7
129,749,327,capture,blue,right,12,7
130,749,325,capture,blue,right,12,7
131,748,324,capture,blue,right,12,7
132,749,325,capture,blue,right,12,7
133,749,325,capture,blue,right,12,7
134,750,326,capture,blue,right,12,7
135,749,326,capture,blue,right,12,7
136,749,332,capture,blue,right,12,7
137,749,333,capture,blue,right,12,7
138,748,334,capture,blue,right,12,7
139,750,335,capture,blue,right,12,7
140,751,326,capture,blue,right,12,7
141,751,328,capture,blue,right,12,7
142,750,333,capture,blue,right,12,7
143,751,326,capture,blue,right,12,7
144,751,333,capture,blue,right,12,7
145,750,333,capture,blue,right,12,7
146,751,327,capture,blue,right,12,7
147,752,326,capture,blue,right,12,7
148,754,323,capture,blue,right,12,7
149,750,324,capture,blue,right,12,7
150,750,325,capture,blue,right,12,7
151,751,325,capture,blue,right,12,7
152,751,326,capture,blue,right,12,7
153,751,326,capture,blue,right,12,7
154,752,326,capture,blue,right,12,7
155,752,326,capture,blue,right,12,7
156,752,327,capture,blue,right,12,7
157,751,327,capture,blue,right,12,7
158,751,327,capture,blue,right,12,7
159,751,327,capture,blue,right,12,7
160,751,333,capture,blue,right,12,7
161,751,336,capture,blue,right,12,7
162,751,334,capture,blue,right,12,7
163,751,334,capture,blue,right,12,7
164,751,334,capture,blue,right,12,7
165,751,335,capture,blue,right,12,7
166,751,335,capture,blue,right,12,7
167,751,337,capture,blue,right,12,7
168,750,335,capture,blue,right,12,7
169,751,335,capture,blue,right,12,7
170,751,335,capture,blue,right,12,7
171,751,337,capture,blue,right,12,7
172,748,336,capture,blue,right,12,7
173,751,329,capture,blue,right,12,7
174,751,330,capture,blue,right,12,7
175,751,330,capture,blue,right,12,7
176,751,330,capture,blue,right,12,7
177,750,330,capture,blue,right,12,7
178,743,330,capture,blue,right,12,7
179,747,330,capture,blue,right,12,7
180,747,330,capture,blue,right,12,7
181,747,330,capture,blue,right,12,7
182,747,331,capture,blue,right,12,7
183,748,331,capture,blue,right,12,7
184,747,331,capture,blue,right,12,7
185,748,331,capture,blue,right,12,7
186,748,331,capture,blue,right,12,7
187,748,336,capture,blue,right,12,7
188,751,329,capture,blue,right,12,7
189,747,325,capture,blue,right,12,7
190,745,320,capture,blue,right,12,7
191,743,323,capture,blue,right,12,7
192,746,323,capture,blue,right,12,7
193,746,322,capture,blue,right,12,7
194,746,322,capture,blue,right,12,7
195,753,315,capture,blue,right,12,7
196,753,323,capture,blue,right,12,7
197,743,311,capture,blue,right,12,7
198,753,313,capture,blue,right,12,7
199,747,320,capture,blue,right,12,7
200,751,324,capture,blue,right,12,7
201,751,323,capture,blue,right,12,7
202,750,323,capture,blue,right,12,7
203,750,323,capture,blue,right,12,7
204,749,323,capture,blue,right,12,7
205,752,322,capture,blue,right,12,7
206,751,323,capture,blue,right,12,7
207,751,322,capture,blue,right,12,7
208,754,321,capture,blue,right,12,7
209,756,321,capture,blue,right,12,7
210,755,321,capture,blue,right,12,7
211,755,320,capture,blue,right,12,7
212,757,318,capture,blue,right,12,7
213,758,317,capture,blue,right,12,7
214,762,309,capture,blue,right,12,7
215,761,312,capture,blue,right,12,7
216,758,315,capture,blue,right,12,7
217,759,315,capture,blue,right,12,7
218,760,315,capture,blue,right,12,7
219,758,316,capture,blue,right,12,7
220,758,316,capture,blue,right,12,7
221,758,317,capture,blue,right,12,7
222,756,318,capture,blue,right,12,7
223,757,318,capture,blue,right,12,7
224,762,311,capture,blue,right,12,7
225,762,311,capture,blue,right,12,7
226,761,311,capture,blue,right,12,7
227,762,311,capture,blue,right,12,7
228,762,311,capture,blue,right,12,7
229,763,310,capture,blue,right,12,7
230,763,311,capture,blue,right,12,7
231,762,311,capture,blue,right,12,7
232,764,309,capture,blue,right,12,7
233,763,309,capture,blue,right,12,7
234,759,316,capture,blue,right,12,7
235,762,313,capture,blue,right,12,7
236,762,313,capture,blue,right,12,7
237,765,308,capture,blue,right,12,7
238,760,316,capture,blue,right,12,7
239,760,317,capture,blue,right,12,7
240,760,317,capture,blue,right,12,7
241,760,317,capture,blue,right,12,7
242,761,312,capture,blue,right,12,7
243,761,313,capture,blue,right,12,7
244,764,308,capture,blue,right,12,7
245,760,318,capture,blue,right,12,7
246,765,306,capture,blue,right,12,7
247,766,308,capture,blue,right,12,7
248,760,317,capture,blue,right,12,7
249,765,309,capture,blue,right,12,7
250,760,317,capture,blue,right,12,7
251,766,308,capture,blue,right,12,7
252,766,306,capture,blue,right,12,7
253,760,320,capture,blue,right,12,7
254,765,310,capture,blue,right,12,7
255,766,309,capture,blue,right,12,7
256,765,311,capture,blue,right,12,7
257,766,311,capture,blue,right,12,7
258,766,313,capture,blue,right,12,7
259,766,310,capture,blue,right,12,7
260,766,312,capture,blue,right,12,7
261,766,312,capture,blue,right,12,7
262,765,313,capture,blue,right,12,7
263,765,311,capture,blue,right,12,7
264,764,318,capture,blue,right,12,7
265,764,322,capture,blue,right,12,7
266,765,317,capture,blue,right,12,7
267,765,316,capture,blue,right,12,7
268,767,317,capture,blue,right,12,7
269,767,316,capture,blue,right,12,7
270,770,312,capture,blue,right,12,7
271,770,315,capture,blue,right,12,7
272,771,312,capture,blue,right,12,7
273,771,312,capture,blue,right,12,7
274,771,311,capture,blue,right,12,7
275,773,310,capture,blue,right,12,7
276,774,310,capture,blue,right,12,7
277,773,310,capture,blue,right,12,7
278,773,310,capture,blue,right,12,7
279,786,305,capture,blue,right,12,7
280,786,304,capture,blue,right,12,7
281,769,316,capture,blue,right,12,7
282,769,313,capture,blue,right,12,7
283,769,316,capture,blue,right,12,7
284,773,306,capture,blue,right,12,7
285,774,307,capture,blue,right,12,7
286,775,307,capture,blue,right,12,7
287,775,307,capture,blue,right,12,7
288,774,302,capture,blue,right,12,7
289,773,301,capture,blue,right,12,7
290,772,302,capture,blue,right,12,7
291,771,302,capture,blue,right,12,7
292,771,300,capture,blue,right,12,7
293,771,302,capture,blue,right,12,7
294,771,302,capture,blue,right,12,7
295,770,302,capture,blue,right,12,7
296,771,302,capture,blue,right,12,7
297,771,303,capture,blue,right,12,7
298,771,304,capture,blue,right,12,7
299,771,304,capture,blue,right,12,7
300,771,304,capture,blue,right,12,7
301,772,304,capture,blue,right,12,7
302,772,303,capture,blue,right,12,7
303,772,304,capture,blue,right,12,7
304,772,305,capture,blue,right,12,7
305,772,305,capture,blue,right,12,7
306,772,307,capture,blue,right,12,7
307,772,307,capture,blue,right,12,7
308,772,308,capture,blue,right,12,7
309,772,307,capture,blue,right,12,7
310,773,306,capture,blue,right,12,7
311,773,302,capture,blue,right,12,7
312,773,302,capture,blue,right,12,7
313,774,302,capture,blue,right,12,7
314,774,301,capture,blue,right,12,7
315,774,303,capture,blue,right,12,7
316,774,305,capture,blue,right,12,7
317,774,306,capture,blue,right,12,7
318,774,308,capture,blue,right,12,7
319,773,309,capture,blue,right,12,7
320,774,309,capture,blue,right,12,7
321,774,309,capture,blue,right,12,7
322,774,310,capture,blue,right,12,7
323,774,311,capture,blue,right,12,7
324,774,311,capture,blue,right,12,7
325,775,309,capture,blue,right,12,7
326,775,308,capture,blue,right,12,7
327,776,307,capture,blue,right,12,7
328,776,305,capture,blue,right,12,7
329,776,304,capture,blue,right,12,7
330,776,305,capture,blue,right,12,7
331,777,306,capture,blue,right,12,7
332,776,306,capture,blue,right,12,7
333,777,305,capture,blue,right,12,7
334,777,304,capture,blue,right,12,7
335,787,303,capture,blue,right,12,7
336,778,303,capture,blue,right,12,7
337,778,303,capture,blue,right,12,7
338,778,303,capture,blue,right,12,7
339,779,304,capture,blue,right,12,7
340,779,302,capture,blue,right,12,7
341,778,305,capture,blue,right,12,7
342,778,302,capture,blue,right,12,7
343,780,301,capture,blue,right,12,7
344,774,301,capture,blue,right,12,7
345,774,301,capture,blue,right,12,7
346,774,297,capture,blue,right,12,7
347,774,302,capture,blue,right,12,7
348,774,303,capture,blue,right,12,7
349,774,304,capture,blue,right,12,7
350,775,305,capture,blue,right,12,7
351,775,308,capture,blue,right,12,7
352,774,309,capture,blue,right,12,7
353,775,307,capture,blue,right,12,7
354,777,303,capture,blue,right,12,7
355,777,302,capture,blue,right,12,7
356,777,302,capture,blue,right,12,7
357,777,303,capture,blue,right,12,7
358,778,302,capture,blue,right,12,7
359,778,302,capture,blue,right,12,7
360,777,303,capture,blue,right,12,7
361,778,302,capture,blue,right,12,7
362,778,305,capture,blue,right,12,7
363,777,306,capture,blue,right,12,7
364,777,306,capture,blue,right,12,7
365,777,308,capture,blue,right,12,7
366,777,308,capture,blue,right,12,7
367,777,309,capture,blue,right,12,7
368,777,310,capture,blue,right,12,7
369,778,317,capture,blue,right,12,7
370,773,332,capture,blue,right,12,7
371,775,335,capture,blue,right,12,7
372,776,321,capture,blue,right,12,7
373,775,320,capture,blue,right,12,7
374,776,317,capture,blue,right,12,7
375,776,319,capture,blue,right,12,7
376,776,317,capture,blue,right,12,7
377,777,322,capture,blue,right,12,7
378,777,320,capture,blue,right,12,7
379,777,320,capture,blue,right,12,7
380,774,323,capture,blue,right,12,7
381,775,323,capture,blue,right,12,7
382,775,325,capture,blue,right,12,7
383,775,324,capture,blue,right,12,7
384,776,324,capture,blue,right,12,7
385,776,324,capture,blue,right,12,7
386,776,326,capture,blue,right,12,7
387,775,327,capture,blue,right,12,7
388,775,328,capture,blue,right,12,7
389,776,329,capture,blue,right,12,7
390,775,330,capture,blue,right,12,7
391,774,334,capture,blue,right,12,7
