t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,799,324,capture,yellow,right,15,2
1,801,329,capture,yellow,right,15,2
2,817,367,capture,yellow,right,15,2
3,805,376,capture,yellow,right,15,2
4,811,377,capture,yellow,right,15,2
5,811,380,capture,yellow,right,15,2
6,814,384,capture,yellow,right,15,2
7,815,387,point outside of all zones,yellow,right,15,2
8,813,388,point outside of all zones,yellow,right,15,2
9,817,379,capture,yellow,right,15,2
10,818,403,gate,yellow,right,15,2
11,839,397,gate,yellow,right,15,2
12,842,397,gate,yellow,right,15,2
13,848,399,gate,yellow,right,15,2
14,846,397,gate,yellow,right,15,2
15,837,412,gate,yellow,right,15,2
16,844,409,gate,yellow,right,15,2
17,851,401,gate,yellow,right,15,2
18,850,414,gate,yellow,right,15,2
19,857,419,gate,yellow,right,15,2
20,859,419,gate,yellow,right,15,2
21,864,410,gate_test,yellow,right,15,2
22,880,423,gate_test,yellow,right,15,2
23,881,421,gate_test,yellow,right,15,2
24,865,420,gate_test,yellow,right,15,2
25,866,419,gate_test,yellow,right,15,2
26,866,419,gate_test,yellow,right,15,2
27,866,419,gate_test,yellow,right,15,2
28,866,419,gate_test,yellow,right,15,2
29,895,417,gate_test,yellow,right,15,2
30,895,417,gate_test,yellow,right,15,2
31,929,424,gate_test,yellow,right,15,2
32,929,424,gate_test,yellow,right,15,2
33,951,419,gate_test,yellow,right,15,2
34,951,419,gate_test,yellow,right,15,2
35,969,419,gate_test,yellow,right,15,2
36,974,418,test,yellow,right,15,2
37,974,418,test,yellow,right,15,2
38,974,418,test,yellow,right,15,2
39,981,417,test,yellow,right,15,2
40,991,418,test,yellow,right,15,2
41,1005,419,test,yellow,right,15,2
42,1012,419,test,yellow,right,15,2
43,1025,414,test,yellow,right,15,2
44,1037,406,test,yellow,right,15,2
45,1055,403,test,yellow,right,15,2
46,1072,407,test,yellow,right,15,2
47,1088,403,test,yellow,right,15,2
48,1090,398,test,yellow,right,15,2
49,1101,399,test,yellow,right,15,2
50,1114,409,test,yellow,right,15,2
51,1149,404,test,yellow,right,15,2
52,1157,401,test,yellow,right,15,2
53,1146,403,test,yellow,right,15,2
54,1157,409,test,yellow,right,15,2
55,1162,415,test,yellow,right,15,2
56,1169,416,test,yellow,right,15,2
57,1188,429,test,yellow,right,15,2
58,1182,421,test,yellow,right,15,2
59,1192,441,test,yellow,right,15,2
60,1197,433,test,yellow,right,15,2
61,1197,433,test,yellow,right,15,2
62,1242,447,test,yellow,right,15,2
63,1251,452,test,yellow,right,15,2
64,1226,459,test,yellow,right,15,2
65,1230,465,test,yellow,right,15,2
66,1231,477,test,yellow,right,15,2
67,1235,487,branch_left,yellow,right,15,2
68,1249,497,branch_left,yellow,right,15,2
69,1253,507,branch_left,yellow,right,15,2
70,1252,513,branch_left,yellow,right,15,2
71,1261,523,branch_left,yellow,right,15,2
72,1264,532,branch_left,yellow,right,15,2
73,1269,542,branch_left,yellow,right,15,2
74,1274,553,branch_left,yellow,right,15,2
75,1276,554,branch_left,yellow,right,15,2
76,1288,568,branch_left,yellow,right,15,2
77,1295,579,branch_left,yellow,right,15,2
78,1305,591,branch_left,yellow,right,15,2
79,1313,599,branch_left,yellow,right,15,2
80,1319,612,branch_left,yellow,right,15,2
81,1323,622,branch_left,yellow,right,15,2
82,1328,630,branch_left,yellow,right,15,2
83,1333,639,branch_left,yellow,right,15,2
84,1335,641,branch_left,yellow,right,15,2
85,1339,650,branch_left,yellow,right,15,2
86,1351,649,branch_left,yellow,right,15,2
87,1358,651,branch_left,yellow,right,15,2
88,1352,654,branch_left,yellow,right,15,2
89,1383,673,fountain_left,yellow,right,15,2
90,1370,666,fountain_left,yellow,right,15,2
91,1429,701,fountain_left,yellow,right,15,2
92,1429,701,fountain_left,yellow,right,15,2
93,1423,675,fountain_left,yellow,right,15,2
94,1430,675,fountain_left,yellow,right,15,2
95,1439,675,fountain_left,yellow,right,15,2
96,1441,673,fountain_left,yellow,right,15,2
97,1437,670,fountain_left,yellow,right,15,2
98,1431,669,fountain_left,yellow,right,15,2
99,1431,669,fountain_left,yellow,right,15,2
100,1431,669,fountain_left,yellow,right,15,2
101,1406,671,fountain_left,yellow,right,15,2
102,1390,675,fountain_left,yellow,right,15,2
103,1390,682,fountain_left,yellow,right,15,2
104,1388,696,fountain_left,yellow,right,15,2
105,1377,699,fountain_left,yellow,right,15,2
106,1373,700,fountain_left,yellow,right,15,2
107,1371,705,fountain_left,yellow,right,15,2
108,1370,705,fountain_left,yellow,right,15,2
109,1372,705,fountain_left,yellow,right,15,2
110,1375,706,fountain_left,yellow,right,15,2
111,1367,711,fountain_left,yellow,right,15,2
112,1364,711,fountain_left,yellow,right,15,2
113,1365,718,fountain_left,yellow,right,15,2
114,1365,718,fountain_left,yellow,right,15,2
115,1388,692,fountain_left,yellow,right,15,2
116,1390,696,fountain_left,yellow,right,15,2
117,1401,686,fountain_left,yellow,right,15,2
118,1405,685,fountain_left,yellow,right,15,2
119,1416,687,fountain_left,yellow,right,15,2
120,1421,680,fountain_left,yellow,right,15,2
121,1423,677,fountain_left,yellow,right,15,2
122,1442,680,fountain_left,yellow,right,15,2
123,1418,674,fountain_left,yellow,right,15,2
124,1418,674,fountain_left,yellow,right,15,2
125,1418,674,fountain_left,yellow,right,15,2
126,1386,683,fountain_left,yellow,right,15,2
127,1397,677,fountain_left,yellow,right,15,2
128,1387,686,fountain_left,yellow,right,15,2
129,1385,692,fountain_left,yellow,right,15,2
130,1391,686,fountain_left,yellow,right,15,2
131,1392,685,fountain_left,yellow,right,15,2
132,1391,685,fountain_left,yellow,right,15,2
133,1386,684,fountain_left,yellow,right,15,2
134,1384,687,fountain_left,yellow,right,15,2
135,1384,687,fountain_left,yellow,right,15,2
136,1384,687,fountain_left,yellow,right,15,2
137,1391,678,fountain_left,yellow,right,15,2
138,1369,667,fountain_left,yellow,right,15,2
139,1372,690,fountain_left,yellow,right,15,2
140,1367,701,fountain_left,yellow,right,15,2
141,1363,706,fountain_left,yellow,right,15,2
142,1364,690,fountain_left,yellow,right,15,2
143,1364,689,fountain_left,yellow,right,15,2
144,1365,700,fountain_left,yellow,right,15,2
145,1371,707,fountain_left,yellow,right,15,2
146,1368,701,fountain_left,yellow,right,15,2
147,1389,713,fountain_left,yellow,right,15,2
148,1398,699,fountain_left,yellow,right,15,2
149,1407,692,fountain_left,yellow,right,15,2
150,1411,690,fountain_left,yellow,right,15,2
151,1414,678,fountain_left,yellow,right,15,2
152,1433,682,fountain_left,yellow,right,15,2
153,1428,677,fountain_left,yellow,right,15,2
154,1445,682,fountain_left,yellow,right,15,2
155,1424,671,fountain_left,yellow,right,15,2
156,1438,686,fountain_left,yellow,right,15,2
157,1438,686,fountain_left,yellow,right,15,2
158,1388,667,fountain_left,yellow,right,15,2
159,1393,667,fountain_left,yellow,right,15,2
160,1393,666,fountain_left,yellow,right,15,2
161,1391,669,fountain_left,yellow,right,15,2
162,1397,672,fountain_left,yellow,right,15,2
163,1389,665,fountain_left,yellow,right,15,2
164,1390,667,fountain_left,yellow,right,15,2
165,1394,663,fountain_left,yellow,right,15,2
166,1391,661,fountain_left,yellow,right,15,2
167,1388,672,fountain_left,yellow,right,15,2
168,1385,671,fountain_left,yellow,right,15,2
169,1387,666,fountain_left,yellow,right,15,2
170,1386,666,fountain_left,yellow,right,15,2
171,1385,660,fountain_left,yellow,right,15,2
172,1385,662,fountain_left,yellow,right,15,2
173,1385,662,fountain_left,yellow,right,15,2
174,1389,664,fountain_left,yellow,right,15,2
175,1391,657,fountain_left,yellow,right,15,2
176,1398,659,fountain_left,yellow,right,15,2
177,1393,658,fountain_left,yellow,right,15,2
178,1391,653,fountain_left,yellow,right,15,2
179,1394,669,fountain_left,yellow,right,15,2
180,1400,670,fountain_left,yellow,right,15,2
181,1404,670,fountain_left,yellow,right,15,2
182,1387,657,fountain_left,yellow,right,15,2
183,1391,666,fountain_left,yellow,right,15,2
184,1396,663,fountain_left,yellow,right,15,2
185,1403,659,fountain_left,yellow,right,15,2
186,1420,666,fountain_left,yellow,right,15,2
187,1405,653,fountain_left,yellow,right,15,2
188,1405,654,fountain_left,yellow,right,15,2
189,1406,651,fountain_left,yellow,right,15,2
190,1408,650,fountain_left,yellow,right,15,2
191,1404,653,fountain_left,yellow,right,15,2
192,1404,653,fountain_left,yellow,right,15,2
193,1404,653,fountain_left,yellow,right,15,2
194,1404,653,fountain_left,yellow,right,15,2
195,1397,686,fountain_left,yellow,right,15,2
196,1399,702,fountain_left,yellow,right,15,2
197,1399,702,fountain_left,yellow,right,15,2
198,1389,707,fountain_left,yellow,right,15,2
199,1389,694,fountain_left,yellow,right,15,2
200,1393,688,fountain_left,yellow,right,15,2
201,1391,690,fountain_left,yellow,right,15,2
202,1389,696,fountain_left,yellow,right,15,2
203,1387,693,fountain_left,yellow,right,15,2
204,1386,688,fountain_left,yellow,right,15,2
205,1377,686,fountain_left,yellow,right,15,2
206,1378,693,fountain_left,yellow,right,15,2
207,1379,689,fountain_left,yellow,right,15,2
208,1380,695,fountain_left,yellow,right,15,2
209,1381,691,fountain_left,yellow,right,15,2
210,1377,685,fountain_left,yellow,right,15,2
211,1368,674,fountain_left,yellow,right,15,2
212,1381,687,fountain_left,yellow,right,15,2
213,1375,684,fountain_left,yellow,right,15,2
214,1379,671,fountain_left,yellow,right,15,2
215,1383,663,fountain_left,yellow,right,15,2
216,1386,662,fountain_left,yellow,right,15,2
217,1380,657,fountain_left,yellow,right,15,2
218,1398,671,fountain_left,yellow,right,15,2
219,1403,664,fountain_left,yellow,right,15,2
220,1405,666,fountain_left,yellow,right,15,2
221,1431,666,fountain_left,yellow,right,15,2
222,1450,675,fountain_left,yellow,right,15,2
223,1429,670,fountain_left,yellow,right,15,2
224,1438,680,fountain_left,yellow,right,15,2
225,1438,680,fountain_left,yellow,right,15,2
226,1442,693,fountain_left,yellow,right,15,2
227,1447,697,fountain_left,yellow,right,15,2
228,1447,697,fountain_left,yellow,right,15,2
229,1447,697,fountain_left,yellow,right,15,2
230,1394,662,fountain_left,yellow,right,15,2
231,1397,665,fountain_left,yellow,right,15,2
232,1395,664,fountain_left,yellow,right,15,2
233,1392,666,fountain_left,yellow,right,15,2
234,1397,665,fountain_left,yellow,right,15,2
235,1400,669,fountain_left,yellow,right,15,2
236,1401,671,fountain_left,yellow,right,15,2
237,1403,671,fountain_left,yellow,right,15,2
238,1403,672,fountain_left,yellow,right,15,2
239,1413,675,fountain_left,yellow,right,15,2
240,1412,675,fountain_left,yellow,right,15,2
241,1404,672,fountain_left,yellow,right,15,2
242,1392,660,fountain_left,yellow,right,15,2
243,1390,668,fountain_left,yellow,right,15,2
244,1422,693,fountain_left,yellow,right,15,2
245,1422,693,fountain_left,yellow,right,15,2
246,1428,677,fountain_left,yellow,right,15,2
247,1441,680,fountain_left,yellow,right,15,2
248,1452,672,fountain_left,yellow,right,15,2
249,1453,675,fountain_left,yellow,right,15,2
250,1463,683,fountain_left,yellow,right,15,2
251,1442,685,fountain_left,yellow,right,15,2
252,1423,680,fountain_left,yellow,right,15,2
253,1400,677,fountain_left,yellow,right,15,2
254,1393,692,fountain_left,yellow,right,15,2
255,1400,699,fountain_left,yellow,right,15,2
256,1400,699,fountain_left,yellow,right,15,2
257,1400,699,fountain_left,yellow,right,15,2
258,1400,699,fountain_left,yellow,right,15,2
259,1382,706,fountain_left,yellow,right,15,2
260,1388,704,fountain_left,yellow,right,15,2
261,1394,722,fountain_left,yellow,right,15,2
262,1390,705,fountain_left,yellow,right,15,2
263,1385,697,fountain_left,yellow,right,15,2
264,1383,721,fountain_left,yellow,right,15,2
265,1383,721,fountain_left,yellow,right,15,2
266,1370,713,fountain_left,yellow,right,15,2
267,1365,700,fountain_left,yellow,right,15,2
268,1363,700,fountain_left,yellow,right,15,2
269,1342,708,fountain_left,yellow,right,15,2
270,1343,705,fountain_left,yellow,right,15,2
271,1336,691,fountain_left,yellow,right,15,2
272,1314,698,fountain_left,yellow,right,15,2
273,1311,676,branch_left,yellow,right,15,2
274,1300,668,branch_left,yellow,right,15,2
275,1313,660,branch_left,yellow,right,15,2
276,1275,634,branch_left,yellow,right,15,2
277,1317,636,branch_left,yellow,right,15,2
278,1288,615,branch_left,yellow,right,15,2
279,1303,618,branch_left,yellow,right,15,2
280,1292,598,branch_left,yellow,right,15,2
281,1274,574,branch_left,yellow,right,15,2
282,1269,533,branch_left,yellow,right,15,2
283,1262,524,branch_left,yellow,right,15,2
284,1262,518,branch_left,yellow,right,15,2
285,1253,511,branch_left,yellow,right,15,2
286,1248,501,branch_left,yellow,right,15,2
287,1229,468,test,yellow,right,15,2
288,1233,474,test,yellow,right,15,2
289,1222,438,test,yellow,right,15,2
290,1222,449,test,yellow,right,15,2
291,1218,437,test,yellow,right,15,2
292,1217,427,test,yellow,right,15,2
293,1216,384,test,yellow,right,15,2
294,1213,367,test,yellow,right,15,2
295,1214,382,test,yellow,right,15,2
296,1212,367,test,yellow,right,15,2
297,1216,359,test,yellow,right,15,2
298,1216,321,branch_right,yellow,right,15,2
299,1216,311,branch_right,yellow,right,15,2
300,1227,314,branch_right,yellow,right,15,2
301,1235,290,branch_right,yellow,right,15,2
302,1257,275,branch_right,yellow,right,15,2
303,1256,273,branch_right,yellow,right,15,2
304,1270,250,branch_right,yellow,right,15,2
305,1280,244,branch_right,yellow,right,15,2
306,1282,232,branch_right,yellow,right,15,2
307,1283,224,branch_right,yellow,right,15,2
308,1281,212,branch_right,yellow,right,15,2
309,1283,204,branch_right,yellow,right,15,2
310,1273,166,branch_right,yellow,right,15,2
311,1283,168,branch_right,yellow,right,15,2
312,1287,139,fountain_right,yellow,right,15,2
313,1294,136,fountain_right,yellow,right,15,2
