t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,559,341,capture,blue,right,4,10
1,583,301,capture,blue,right,4,10
2,627,271,capture,blue,right,4,10
3,624,276,capture,blue,right,4,10
4,630,266,capture,blue,right,4,10
5,630,275,capture,blue,right,4,10
6,631,274,capture,blue,right,4,10
7,633,275,capture,blue,right,4,10
8,630,273,capture,blue,right,4,10
9,632,273,capture,blue,right,4,10
10,634,277,capture,blue,right,4,10
11,632,279,capture,blue,right,4,10
12,640,280,capture,blue,right,4,10
13,633,280,capture,blue,right,4,10
14,640,280,capture,blue,right,4,10
15,633,280,capture,blue,right,4,10
16,633,279,capture,blue,right,4,10
17,653,278,capture,blue,right,4,10
18,647,274,capture,blue,right,4,10
19,647,273,capture,blue,right,4,10
20,635,276,capture,blue,right,4,10
21,634,277,capture,blue,right,4,10
22,646,273,capture,blue,right,4,10
23,633,277,capture,blue,right,4,10
24,634,276,capture,blue,right,4,10
25,633,277,capture,blue,right,4,10
26,643,276,capture,blue,right,4,10
27,643,277,capture,blue,right,4,10
28,634,278,capture,blue,right,4,10
29,641,278,capture,blue,right,4,10
30,642,279,capture,blue,right,4,10
31,635,277,capture,blue,right,4,10
32,644,278,capture,blue,right,4,10
33,635,278,capture,blue,right,4,10
34,644,278,capture,blue,right,4,10
35,643,278,capture,blue,right,4,10
36,643,277,capture,blue,right,4,10
37,643,277,capture,blue,right,4,10
38,633,277,capture,blue,right,4,10
39,644,276,capture,blue,right,4,10
40,654,277,capture,blue,right,4,10
41,642,279,capture,blue,right,4,10
42,634,279,capture,blue,right,4,10
43,634,280,capture,blue,right,4,10
44,645,276,capture,blue,right,4,10
45,644,278,capture,blue,right,4,10
46,634,279,capture,blue,right,4,10
47,646,276,capture,blue,right,4,10
48,654,277,capture,blue,right,4,10
49,633,279,capture,blue,right,4,10
50,636,276,capture,blue,right,4,10
51,644,276,capture,blue,right,4,10
52,641,278,capture,blue,right,4,10
53,647,274,capture,blue,right,4,10
54,647,275,capture,blue,right,4,10
55,647,275,capture,blue,right,4,10
56,647,275,capture,blue,right,4,10
57,650,275,capture,blue,right,4,10
58,640,276,capture,blue,right,4,10
59,638,275,capture,blue,right,4,10
60,651,273,capture,blue,right,4,10
61,638,276,capture,blue,right,4,10
