t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,770,309,capture,blue,right,40,7
1,763,307,capture,blue,right,40,7
2,809,349,capture,blue,right,40,7
3,821,363,capture,blue,right,40,7
4,829,369,capture,blue,right,40,7
5,838,379,gate,blue,right,40,7
6,845,386,gate,blue,right,40,7
7,847,390,gate,blue,right,40,7
8,861,393,gate_test,blue,right,40,7
9,864,392,gate_test,blue,right,40,7
10,877,395,gate_test,blue,right,40,7
11,880,396,gate_test,blue,right,40,7
12,885,399,gate_test,blue,right,40,7
13,890,396,gate_test,blue,right,40,7
14,903,399,gate_test,blue,right,40,7
15,897,408,gate_test,blue,right,40,7
16,925,407,gate_test,blue,right,40,7
17,927,411,gate_test,blue,right,40,7
18,937,414,gate_test,blue,right,40,7
19,956,410,gate_test,blue,right,40,7
20,963,407,gate_test,blue,right,40,7
21,973,406,test,blue,right,40,7
22,977,411,test,blue,right,40,7
23,969,400,gate_test,blue,right,40,7
24,980,404,test,blue,right,40,7
25,1007,404,test,blue,right,40,7
26,1017,402,test,blue,right,40,7
27,1027,404,test,blue,right,40,7
28,1031,406,test,blue,right,40,7
29,1027,403,test,blue,right,40,7
30,1060,403,test,blue,right,40,7
31,1075,401,test,blue,right,40,7
32,1069,404,test,blue,right,40,7
33,1079,405,test,blue,right,40,7
34,1100,402,test,blue,right,40,7
35,1108,403,test,blue,right,40,7
36,1113,400,test,blue,right,40,7
37,1123,394,test,blue,right,40,7
38,1116,393,test,blue,right,40,7
39,1141,386,test,blue,right,40,7
40,1148,380,test,blue,right,40,7
41,1153,377,test,blue,right,40,7
42,1151,377,test,blue,right,40,7
43,1164,381,test,blue,right,40,7
44,1169,381,test,blue,right,40,7
45,1178,384,test,blue,right,40,7
46,1177,387,test,blue,right,40,7
47,1187,386,test,blue,right,40,7
48,1175,396,test,blue,right,40,7
49,1191,398,test,blue,right,40,7
50,1192,396,test,blue,right,40,7
51,1192,403,test,blue,right,40,7
52,1193,403,test,blue,right,40,7
53,1196,405,test,blue,right,40,7
54,1200,405,test,blue,right,40,7
55,1204,409,test,blue,right,40,7
56,1214,412,test,blue,right,40,7
57,1224,410,test,blue,right,40,7
58,1227,415,test,blue,right,40,7
59,1224,425,test,blue,right,40,7
60,1231,435,test,blue,right,40,7
61,1235,444,test,blue,right,40,7
62,1241,446,test,blue,right,40,7
63,1243,456,test,blue,right,40,7
64,1237,455,test,blue,right,40,7
65,1245,467,point outside of all zones,blue,right,40,7
66,1259,480,branch_left,blue,right,40,7
67,1258,487,branch_left,blue,right,40,7
68,1258,495,branch_left,blue,right,40,7
69,1256,497,branch_left,blue,right,40,7
70,1257,512,branch_left,blue,right,40,7
71,1260,522,branch_left,blue,right,40,7
72,1266,528,branch_left,blue,right,40,7
73,1278,535,branch_left,blue,right,40,7
74,1284,537,branch_left,blue,right,40,7
75,1289,537,branch_left,blue,right,40,7
76,1299,537,branch_left,blue,right,40,7
77,1308,538,branch_left,blue,right,40,7
78,1314,545,branch_left,blue,right,40,7
79,1320,560,branch_left,blue,right,40,7
80,1324,569,branch_left,blue,right,40,7
81,1329,575,branch_left,blue,right,40,7
82,1334,586,branch_left,blue,right,40,7
83,1341,588,branch_left,blue,right,40,7
84,1347,592,branch_left,blue,right,40,7
85,1353,598,branch_left,blue,right,40,7
86,1354,606,branch_left,blue,right,40,7
87,1358,615,branch_left,blue,right,40,7
88,1368,622,branch_left,blue,right,40,7
89,1372,623,branch_left,blue,right,40,7
90,1372,623,branch_left,blue,right,40,7
91,1374,626,branch_left,blue,right,40,7
92,1381,632,branch_left,blue,right,40,7
93,1381,630,branch_left,blue,right,40,7
94,1379,638,branch_left,blue,right,40,7
95,1383,638,branch_left,blue,right,40,7
96,1382,641,branch_left,blue,right,40,7
97,1382,643,branch_left,blue,right,40,7
98,1376,630,branch_left,blue,right,40,7
99,1387,636,branch_left,blue,right,40,7
100,1386,634,branch_left,blue,right,40,7
101,1386,638,branch_left,blue,right,40,7
102,1386,635,branch_left,blue,right,40,7
103,1392,633,branch_left,blue,right,40,7
104,1394,633,branch_left,blue,right,40,7
105,1395,640,fountain_left,blue,right,40,7
106,1393,641,fountain_left,blue,right,40,7
107,1396,645,fountain_left,blue,right,40,7
108,1385,649,fountain_left,blue,right,40,7
109,1397,655,fountain_left,blue,right,40,7
110,1411,660,fountain_left,blue,right,40,7
111,1414,661,fountain_left,blue,right,40,7
112,1438,648,fountain_left,blue,right,40,7
113,1441,639,fountain_left,blue,right,40,7
114,1444,638,fountain_left,blue,right,40,7
115,1429,631,fountain_left,blue,right,40,7
116,1425,654,fountain_left,blue,right,40,7
117,1419,679,fountain_left,blue,right,40,7
118,1410,686,fountain_left,blue,right,40,7
119,1410,686,fountain_left,blue,right,40,7
120,1410,686,fountain_left,blue,right,40,7
121,1410,686,fountain_left,blue,right,40,7
122,1410,686,fountain_left,blue,right,40,7
123,1410,686,fountain_left,blue,right,40,7
124,1386,737,fountain_left,blue,right,40,7
125,1386,737,fountain_left,blue,right,40,7
