t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,648,269,capture,yellow,left,3,11
1,695,276,capture,yellow,left,3,11
2,704,282,capture,yellow,left,3,11
3,696,272,capture,yellow,left,3,11
4,688,272,capture,yellow,left,3,11
5,683,290,capture,yellow,left,3,11
6,675,295,capture,yellow,left,3,11
7,685,269,capture,yellow,left,3,11
8,690,284,capture,yellow,left,3,11
9,684,273,capture,yellow,left,3,11
10,678,257,capture,yellow,left,3,11
11,677,274,capture,yellow,left,3,11
12,677,274,capture,yellow,left,3,11
13,666,267,capture,yellow,left,3,11
14,665,269,capture,yellow,left,3,11
15,665,266,capture,yellow,left,3,11
16,679,273,capture,yellow,left,3,11
17,679,273,capture,yellow,left,3,11
18,664,262,capture,yellow,left,3,11
19,677,268,capture,yellow,left,3,11
20,677,268,capture,yellow,left,3,11
21,677,268,capture,yellow,left,3,11
22,677,268,capture,yellow,left,3,11
23,677,268,capture,yellow,left,3,11
24,666,265,capture,yellow,left,3,11
25,677,267,capture,yellow,left,3,11
26,664,267,capture,yellow,left,3,11
27,670,273,capture,yellow,left,3,11
28,664,272,capture,yellow,left,3,11
29,661,274,capture,yellow,left,3,11
30,662,274,capture,yellow,left,3,11
31,657,276,capture,yellow,left,3,11
32,669,273,capture,yellow,left,3,11
33,669,273,capture,yellow,left,3,11
34,669,274,capture,yellow,left,3,11
35,683,274,capture,yellow,left,3,11
36,671,287,capture,yellow,left,3,11
37,668,272,capture,yellow,left,3,11
38,651,257,capture,yellow,left,3,11
39,652,258,capture,yellow,left,3,11
40,669,262,capture,yellow,left,3,11
41,666,261,capture,yellow,left,3,11
42,656,256,capture,yellow,left,3,11
43,647,253,capture,yellow,left,3,11
44,647,253,capture,yellow,left,3,11
45,648,252,capture,yellow,left,3,11
46,665,258,capture,yellow,left,3,11
47,671,257,capture,yellow,left,3,11
48,668,260,capture,yellow,left,3,11
49,668,262,capture,yellow,left,3,11
50,668,268,capture,yellow,left,3,11
51,669,268,capture,yellow,left,3,11
52,669,267,capture,yellow,left,3,11
53,685,267,capture,yellow,left,3,11
54,687,264,capture,yellow,left,3,11
55,687,269,capture,yellow,left,3,11
56,685,275,capture,yellow,left,3,11
57,669,271,capture,yellow,left,3,11
58,668,273,capture,yellow,left,3,11
59,683,279,capture,yellow,left,3,11
60,669,279,capture,yellow,left,3,11
61,666,276,capture,yellow,left,3,11
62,670,269,capture,yellow,left,3,11
63,683,275,capture,yellow,left,3,11
64,678,278,capture,yellow,left,3,11
65,677,282,capture,yellow,left,3,11
66,675,282,capture,yellow,left,3,11
67,687,274,capture,yellow,left,3,11
