t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,556,357,capture,blue,left,66,6
1,589,321,capture,blue,left,66,6
2,643,293,capture,blue,left,66,6
3,664,305,capture,blue,left,66,6
4,666,305,capture,blue,left,66,6
5,669,308,capture,blue,left,66,6
6,667,305,capture,blue,left,66,6
7,671,291,capture,blue,left,66,6
8,665,304,capture,blue,left,66,6
9,667,305,capture,blue,left,66,6
10,669,306,capture,blue,left,66,6
11,670,308,capture,blue,left,66,6
12,671,308,capture,blue,left,66,6
13,672,311,capture,blue,left,66,6
14,673,311,capture,blue,left,66,6
15,673,308,capture,blue,left,66,6
16,671,300,capture,blue,left,66,6
17,669,293,capture,blue,left,66,6
18,668,295,capture,blue,left,66,6
19,699,269,capture,blue,left,66,6
20,669,308,capture,blue,left,66,6
21,669,308,capture,blue,left,66,6
22,669,293,capture,blue,left,66,6
23,669,293,capture,blue,left,66,6
24,669,293,capture,blue,left,66,6
25,670,305,capture,blue,left,66,6
26,670,305,capture,blue,left,66,6
27,670,305,capture,blue,left,66,6
28,674,304,capture,blue,left,66,6
29,674,304,capture,blue,left,66,6
30,674,304,capture,blue,left,66,6
31,673,304,capture,blue,left,66,6
32,673,304,capture,blue,left,66,6
33,677,308,capture,blue,left,66,6
34,677,308,capture,blue,left,66,6
35,683,310,capture,blue,left,66,6
36,686,319,capture,blue,left,66,6
37,675,306,capture,blue,left,66,6
38,679,312,capture,blue,left,66,6
39,716,330,capture,blue,left,66,6
40,721,329,capture,blue,left,66,6
41,742,324,capture,blue,left,66,6
42,742,324,capture,blue,left,66,6
43,771,335,capture,blue,left,66,6
44,778,342,capture,blue,left,66,6
45,779,335,capture,blue,left,66,6
46,798,355,capture,blue,left,66,6
47,797,348,capture,blue,left,66,6
48,797,348,capture,blue,left,66,6
49,797,348,capture,blue,left,66,6
50,816,372,capture,blue,left,66,6
51,829,394,gate,blue,left,66,6
52,846,403,gate,blue,left,66,6
53,846,403,gate,blue,left,66,6
54,846,403,gate,blue,left,66,6
55,872,414,gate_test,blue,left,66,6
56,874,407,gate_test,blue,left,66,6
57,885,406,gate_test,blue,left,66,6
58,897,428,gate_test,blue,left,66,6
59,907,438,gate_test,blue,left,66,6
60,910,442,gate_test,blue,left,66,6
61,905,456,gate_test,blue,left,66,6
62,901,440,gate_test,blue,left,66,6
63,911,451,gate_test,blue,left,66,6
64,904,457,gate_test,blue,left,66,6
65,902,454,gate_test,blue,left,66,6
66,906,468,gate_test,blue,left,66,6
67,903,469,gate_test,blue,left,66,6
68,899,473,gate_test,blue,left,66,6
69,900,468,gate_test,blue,left,66,6
70,894,450,gate_test,blue,left,66,6
71,896,450,gate_test,blue,left,66,6
72,897,452,gate_test,blue,left,66,6
73,908,467,gate_test,blue,left,66,6
74,900,463,gate_test,blue,left,66,6
75,900,463,gate_test,blue,left,66,6
76,888,448,gate_test,blue,left,66,6
77,891,464,gate_test,blue,left,66,6
78,895,466,gate_test,blue,left,66,6
79,900,467,gate_test,blue,left,66,6
80,902,467,gate_test,blue,left,66,6
81,901,467,gate_test,blue,left,66,6
82,901,466,gate_test,blue,left,66,6
83,902,455,gate_test,blue,left,66,6
84,897,471,gate_test,blue,left,66,6
85,895,470,gate_test,blue,left,66,6
86,892,454,gate_test,blue,left,66,6
87,889,465,gate_test,blue,left,66,6
88,882,462,gate_test,blue,left,66,6
89,890,449,gate_test,blue,left,66,6
90,880,459,gate_test,blue,left,66,6
91,888,445,gate_test,blue,left,66,6
92,894,447,gate_test,blue,left,66,6
93,894,455,gate_test,blue,left,66,6
94,892,455,gate_test,blue,left,66,6
95,886,460,gate_test,blue,left,66,6
96,891,447,gate_test,blue,left,66,6
97,884,460,gate_test,blue,left,66,6
98,881,459,gate_test,blue,left,66,6
99,878,459,gate_test,blue,left,66,6
100,881,458,gate_test,blue,left,66,6
101,889,455,gate_test,blue,left,66,6
102,886,454,gate_test,blue,left,66,6
103,896,459,gate_test,blue,left,66,6
104,893,457,gate_test,blue,left,66,6
105,890,459,gate_test,blue,left,66,6
106,888,452,gate_test,blue,left,66,6
107,891,451,gate_test,blue,left,66,6
108,890,451,gate_test,blue,left,66,6
109,887,447,gate_test,blue,left,66,6
110,891,448,gate_test,blue,left,66,6
111,890,455,gate_test,blue,left,66,6
112,873,454,gate_test,blue,left,66,6
113,871,452,gate_test,blue,left,66,6
114,882,453,gate_test,blue,left,66,6
115,879,449,gate_test,blue,left,66,6
116,877,446,gate_test,blue,left,66,6
117,880,450,gate_test,blue,left,66,6
118,894,464,gate_test,blue,left,66,6
119,911,465,gate_test,blue,left,66,6
120,920,476,gate_test,blue,left,66,6
121,932,475,gate_test,blue,left,66,6
122,945,460,gate_test,blue,left,66,6
123,973,464,gate_test,blue,left,66,6
124,980,467,test,blue,left,66,6
125,1011,459,test,blue,left,66,6
126,1031,462,test,blue,left,66,6
127,1052,456,test,blue,left,66,6
128,1066,447,test,blue,left,66,6
129,1105,428,test,blue,left,66,6
130,1132,432,test,blue,left,66,6
131,1163,442,test,blue,left,66,6
132,1228,457,test,blue,left,66,6
133,1260,469,branch_left,blue,left,66,6
134,1276,498,branch_left,blue,left,66,6
135,1298,548,branch_left,blue,left,66,6
136,1327,603,branch_left,blue,left,66,6
137,1378,644,branch_left,blue,left,66,6
138,1383,749,fountain_left,blue,left,66,6
139,1409,726,fountain_left,blue,left,66,6
140,1427,716,fountain_left,blue,left,66,6
141,1470,699,fountain_left,blue,left,66,6
142,1486,696,fountain_left,blue,left,66,6
143,1488,711,fountain_left,blue,left,66,6
144,1472,722,fountain_left,blue,left,66,6
145,1437,727,fountain_left,blue,left,66,6
146,1434,747,fountain_left,blue,left,66,6
147,1411,756,fountain_left,blue,left,66,6
148,1405,766,fountain_left,blue,left,66,6
149,1402,752,fountain_left,blue,left,66,6
150,1423,762,fountain_left,blue,left,66,6
151,1421,766,fountain_left,blue,left,66,6
152,1400,768,fountain_left,blue,left,66,6
153,1391,739,fountain_left,blue,left,66,6
154,1381,743,fountain_left,blue,left,66,6
155,1386,735,fountain_left,blue,left,66,6
156,1379,722,fountain_left,blue,left,66,6
157,1361,712,fountain_left,blue,left,66,6
158,1361,712,fountain_left,blue,left,66,6
159,1363,703,fountain_left,blue,left,66,6
160,1341,695,fountain_left,blue,left,66,6
161,1333,688,fountain_left,blue,left,66,6
162,1323,676,branch_left,blue,left,66,6
163,1314,637,branch_left,blue,left,66,6
164,1328,608,branch_left,blue,left,66,6
165,1333,608,branch_left,blue,left,66,6
166,1319,593,branch_left,blue,left,66,6
167,1306,534,branch_left,blue,left,66,6
168,1298,500,branch_left,blue,left,66,6
169,1267,435,test,blue,left,66,6
170,1242,447,test,blue,left,66,6
171,1216,407,test,blue,left,66,6
172,1233,404,test,blue,left,66,6
173,1251,363,test,blue,left,66,6
174,1273,311,branch_right,blue,left,66,6
175,1276,281,branch_right,blue,left,66,6
176,1292,233,branch_right,blue,left,66,6
177,1298,194,branch_right,blue,left,66,6
178,1319,155,fountain_right,blue,left,66,6
179,1345,117,fountain_right,blue,left,66,6
180,1345,117,fountain_right,blue,left,66,6
181,1345,117,fountain_right,blue,left,66,6
182,1437,111,fountain_right,blue,left,66,6
183,1437,111,fountain_right,blue,left,66,6
184,1437,111,fountain_right,blue,left,66,6
185,1437,111,fountain_right,blue,left,66,6
186,1379,80,fountain_right,blue,left,66,6
187,1379,80,fountain_right,blue,left,66,6
188,1379,80,fountain_right,blue,left,66,6
189,1379,80,fountain_right,blue,left,66,6
190,1336,109,fountain_right,blue,left,66,6
191,1309,139,fountain_right,blue,left,66,6
192,1311,179,branch_right,blue,left,66,6
193,1287,207,branch_right,blue,left,66,6
194,1285,253,branch_right,blue,left,66,6
195,1264,299,branch_right,blue,left,66,6
196,1265,326,branch_right,blue,left,66,6
197,1253,375,test,blue,left,66,6
198,1244,410,test,blue,left,66,6
199,1215,443,test,blue,left,66,6
200,1190,433,test,blue,left,66,6
201,1183,432,test,blue,left,66,6
202,1182,428,test,blue,left,66,6
203,1182,428,test,blue,left,66,6
204,1090,430,test,blue,left,66,6
205,1067,438,test,blue,left,66,6
206,986,442,test,blue,left,66,6
207,966,431,gate_test,blue,left,66,6
208,966,431,gate_test,blue,left,66,6
209,932,444,gate_test,blue,left,66,6
210,882,423,gate_test,blue,left,66,6
211,861,413,gate_test,blue,left,66,6
212,828,386,gate,blue,left,66,6
213,795,363,capture,blue,left,66,6
214,795,363,capture,blue,left,66,6
215,752,331,capture,blue,left,66,6
216,715,320,capture,blue,left,66,6
217,715,320,capture,blue,left,66,6
218,715,320,capture,blue,left,66,6
219,725,321,capture,blue,left,66,6
220,754,334,capture,blue,left,66,6
221,770,344,capture,blue,left,66,6
222,807,371,capture,blue,left,66,6
223,842,399,gate,blue,left,66,6
224,860,419,gate,blue,left,66,6
225,877,415,gate_test,blue,left,66,6
226,903,430,gate_test,blue,left,66,6
227,906,424,gate_test,blue,left,66,6
228,909,441,gate_test,blue,left,66,6
229,896,431,gate_test,blue,left,66,6
230,894,443,gate_test,blue,left,66,6
231,895,430,gate_test,blue,left,66,6
232,913,428,gate_test,blue,left,66,6
233,937,440,gate_test,blue,left,66,6
234,983,444,test,blue,left,66,6
235,1009,437,test,blue,left,66,6
236,1071,428,test,blue,left,66,6
237,1106,432,test,blue,left,66,6
238,1165,436,test,blue,left,66,6
239,1181,425,test,blue,left,66,6
240,1239,447,test,blue,left,66,6
241,1239,457,test,blue,left,66,6
242,1278,510,branch_left,blue,left,66,6
243,1291,534,branch_left,blue,left,66,6
