t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,654,290,capture,yellow,left,3,6
1,681,287,capture,yellow,left,3,6
2,727,285,capture,yellow,left,3,6
3,715,284,capture,yellow,left,3,6
4,715,284,capture,yellow,left,3,6
5,715,284,capture,yellow,left,3,6
6,689,280,capture,yellow,left,3,6
7,674,281,capture,yellow,left,3,6
8,668,280,capture,yellow,left,3,6
9,681,280,capture,yellow,left,3,6
10,680,279,capture,yellow,left,3,6
11,664,282,capture,yellow,left,3,6
12,664,282,capture,yellow,left,3,6
13,664,282,capture,yellow,left,3,6
14,664,282,capture,yellow,left,3,6
15,667,283,capture,yellow,left,3,6
16,659,282,capture,yellow,left,3,6
17,654,286,capture,yellow,left,3,6
18,654,286,capture,yellow,left,3,6
19,641,282,capture,yellow,left,3,6
20,650,279,capture,yellow,left,3,6
21,650,279,capture,yellow,left,3,6
22,650,279,capture,yellow,left,3,6
23,664,280,capture,yellow,left,3,6
24,664,280,capture,yellow,left,3,6
25,685,283,capture,yellow,left,3,6
26,685,283,capture,yellow,left,3,6
27,678,292,capture,yellow,left,3,6
28,682,295,capture,yellow,left,3,6
29,691,298,capture,yellow,left,3,6
30,697,301,capture,yellow,left,3,6
31,703,303,capture,yellow,left,3,6
32,705,309,capture,yellow,left,3,6
33,708,310,capture,yellow,left,3,6
34,720,308,capture,yellow,left,3,6
35,730,309,capture,yellow,left,3,6
36,741,311,capture,yellow,left,3,6
37,740,310,capture,yellow,left,3,6
38,754,322,capture,yellow,left,3,6
39,770,337,capture,yellow,left,3,6
40,768,331,capture,yellow,left,3,6
41,782,333,capture,yellow,left,3,6
42,797,346,capture,yellow,left,3,6
43,794,347,capture,yellow,left,3,6
44,806,353,capture,yellow,left,3,6
45,816,356,capture,yellow,left,3,6
46,826,366,capture,yellow,left,3,6
47,842,378,gate,yellow,left,3,6
48,865,386,gate_test,yellow,left,3,6
49,875,398,gate_test,yellow,left,3,6
50,895,404,gate_test,yellow,left,3,6
51,904,409,gate_test,yellow,left,3,6
52,923,414,gate_test,yellow,left,3,6
53,935,421,gate_test,yellow,left,3,6
54,940,417,gate_test,yellow,left,3,6
55,959,411,gate_test,yellow,left,3,6
56,972,410,gate_test,yellow,left,3,6
57,982,414,test,yellow,left,3,6
58,1012,408,test,yellow,left,3,6
59,1020,411,test,yellow,left,3,6
60,1047,416,test,yellow,left,3,6
61,1058,408,test,yellow,left,3,6
62,1083,408,test,yellow,left,3,6
63,1115,405,test,yellow,left,3,6
64,1142,401,test,yellow,left,3,6
65,1166,403,test,yellow,left,3,6
66,1211,397,test,yellow,left,3,6
67,1214,392,test,yellow,left,3,6
68,1228,368,test,yellow,left,3,6
69,1242,348,point outside of all zones,yellow,left,3,6
70,1254,327,branch_right,yellow,left,3,6
71,1256,303,branch_right,yellow,left,3,6
72,1265,280,branch_right,yellow,left,3,6
73,1269,248,branch_right,yellow,left,3,6
74,1286,228,branch_right,yellow,left,3,6
75,1307,198,branch_right,yellow,left,3,6
76,1322,171,branch_right,yellow,left,3,6
