t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,546,321,capture,yellow,right,33,7
1,570,307,capture,yellow,right,33,7
2,586,284,capture,yellow,right,33,7
3,583,279,capture,yellow,right,33,7
4,601,278,capture,yellow,right,33,7
5,617,281,capture,yellow,right,33,7
6,633,282,capture,yellow,right,33,7
7,642,287,capture,yellow,right,33,7
8,654,283,capture,yellow,right,33,7
9,655,285,capture,yellow,right,33,7
10,658,287,capture,yellow,right,33,7
11,663,285,capture,yellow,right,33,7
12,662,286,capture,yellow,right,33,7
13,663,288,capture,yellow,right,33,7
14,672,290,capture,yellow,right,33,7
15,684,297,capture,yellow,right,33,7
16,698,302,capture,yellow,right,33,7
17,701,300,capture,yellow,right,33,7
18,707,304,capture,yellow,right,33,7
19,723,305,capture,yellow,right,33,7
20,726,316,capture,yellow,right,33,7
21,740,314,capture,yellow,right,33,7
22,745,315,capture,yellow,right,33,7
23,750,322,capture,yellow,right,33,7
24,753,330,capture,yellow,right,33,7
25,763,335,capture,yellow,right,33,7
26,774,327,capture,yellow,right,33,7
27,784,354,capture,yellow,right,33,7
28,794,361,capture,yellow,right,33,7
29,803,364,capture,yellow,right,33,7
30,809,360,capture,yellow,right,33,7
31,816,363,capture,yellow,right,33,7
32,816,357,capture,yellow,right,33,7
33,833,382,gate,yellow,right,33,7
34,836,381,gate,yellow,right,33,7
35,854,355,capture,yellow,right,33,7
36,860,389,gate_test,yellow,right,33,7
37,857,384,gate_test,yellow,right,33,7
38,877,384,gate_test,yellow,right,33,7
39,878,395,gate_test,yellow,right,33,7
40,888,400,gate_test,yellow,right,33,7
41,898,401,gate_test,yellow,right,33,7
42,915,395,gate_test,yellow,right,33,7
43,928,396,gate_test,yellow,right,33,7
44,932,401,gate_test,yellow,right,33,7
45,936,407,gate_test,yellow,right,33,7
46,950,406,gate_test,yellow,right,33,7
47,967,404,gate_test,yellow,right,33,7
48,973,400,test,yellow,right,33,7
49,992,402,test,yellow,right,33,7
50,1008,400,test,yellow,right,33,7
51,998,400,test,yellow,right,33,7
52,1027,399,test,yellow,right,33,7
53,1043,394,test,yellow,right,33,7
54,1048,391,test,yellow,right,33,7
55,1079,388,test,yellow,right,33,7
56,1092,386,test,yellow,right,33,7
57,1111,390,test,yellow,right,33,7
58,1124,386,test,yellow,right,33,7
59,1129,385,test,yellow,right,33,7
60,1155,384,test,yellow,right,33,7
61,1169,388,test,yellow,right,33,7
62,1168,387,test,yellow,right,33,7
63,1177,378,test,yellow,right,33,7
64,1195,374,test,yellow,right,33,7
65,1192,364,test,yellow,right,33,7
66,1197,358,test,yellow,right,33,7
67,1205,352,test,yellow,right,33,7
68,1207,346,test,yellow,right,33,7
69,1219,336,branch_right,yellow,right,33,7
70,1225,333,branch_right,yellow,right,33,7
71,1236,323,branch_right,yellow,right,33,7
72,1242,313,branch_right,yellow,right,33,7
73,1248,314,branch_right,yellow,right,33,7
74,1259,308,branch_right,yellow,right,33,7
75,1260,299,branch_right,yellow,right,33,7
76,1270,283,branch_right,yellow,right,33,7
77,1278,281,branch_right,yellow,right,33,7
78,1289,265,branch_right,yellow,right,33,7
79,1287,264,branch_right,yellow,right,33,7
80,1287,257,branch_right,yellow,right,33,7
81,1290,247,branch_right,yellow,right,33,7
82,1299,220,branch_right,yellow,right,33,7
83,1293,219,branch_right,yellow,right,33,7
84,1296,215,branch_right,yellow,right,33,7
85,1293,194,branch_right,yellow,right,33,7
86,1296,198,branch_right,yellow,right,33,7
87,1305,184,branch_right,yellow,right,33,7
88,1306,190,branch_right,yellow,right,33,7
89,1311,185,branch_right,yellow,right,33,7
90,1315,169,branch_right,yellow,right,33,7
91,1319,163,branch_right,yellow,right,33,7
92,1322,147,fountain_right,yellow,right,33,7
93,1325,155,fountain_right,yellow,right,33,7
94,1334,145,fountain_right,yellow,right,33,7
95,1339,137,fountain_right,yellow,right,33,7
96,1344,133,fountain_right,yellow,right,33,7
97,1342,131,fountain_right,yellow,right,33,7
98,1336,131,fountain_right,yellow,right,33,7
99,1338,102,fountain_right,yellow,right,33,7
100,1327,126,fountain_right,yellow,right,33,7
101,1314,106,fountain_right,yellow,right,33,7
102,1308,110,fountain_right,yellow,right,33,7
103,1313,94,fountain_right,yellow,right,33,7
104,1317,82,fountain_right,yellow,right,33,7
105,1320,66,fountain_right,yellow,right,33,7
106,1322,53,fountain_right,yellow,right,33,7
107,1327,46,fountain_right,yellow,right,33,7
108,1322,42,branch_right,yellow,right,33,7
109,1325,42,branch_right,yellow,right,33,7
110,1339,46,fountain_right,yellow,right,33,7
111,1346,47,fountain_right,yellow,right,33,7
112,1348,48,fountain_right,yellow,right,33,7
113,1345,48,fountain_right,yellow,right,33,7
114,1338,44,branch_right,yellow,right,33,7
115,1327,49,fountain_right,yellow,right,33,7
116,1324,45,fountain_right,yellow,right,33,7
117,1320,41,branch_right,yellow,right,33,7
118,1318,41,branch_right,yellow,right,33,7
119,1319,42,branch_right,yellow,right,33,7
120,1323,43,fountain_right,yellow,right,33,7
121,1330,45,fountain_right,yellow,right,33,7
122,1334,40,branch_right,yellow,right,33,7
123,1343,44,branch_right,yellow,right,33,7
124,1350,46,branch_right,yellow,right,33,7
125,1368,39,branch_right,yellow,right,33,7
126,1377,44,branch_right,yellow,right,33,7
127,1371,63,fountain_right,yellow,right,33,7
128,1376,69,fountain_right,yellow,right,33,7
129,1389,67,fountain_right,yellow,right,33,7
130,1404,62,fountain_right,yellow,right,33,7
131,1403,53,branch_right,yellow,right,33,7
132,1391,68,fountain_right,yellow,right,33,7
133,1392,75,fountain_right,yellow,right,33,7
134,1395,72,fountain_right,yellow,right,33,7
135,1394,69,fountain_right,yellow,right,33,7
136,1392,69,fountain_right,yellow,right,33,7
137,1399,64,fountain_right,yellow,right,33,7
138,1405,77,fountain_right,yellow,right,33,7
139,1401,76,fountain_right,yellow,right,33,7
140,1397,82,fountain_right,yellow,right,33,7
141,1391,81,fountain_right,yellow,right,33,7
142,1387,80,fountain_right,yellow,right,33,7
143,1383,77,fountain_right,yellow,right,33,7
144,1377,77,fountain_right,yellow,right,33,7
145,1380,60,fountain_right,yellow,right,33,7
146,1371,68,fountain_right,yellow,right,33,7
147,1370,50,branch_right,yellow,right,33,7
148,1363,56,fountain_right,yellow,right,33,7
149,1361,55,fountain_right,yellow,right,33,7
150,1360,56,fountain_right,yellow,right,33,7
151,1357,56,fountain_right,yellow,right,33,7
152,1347,56,fountain_right,yellow,right,33,7
153,1362,48,branch_right,yellow,right,33,7
154,1363,53,fountain_right,yellow,right,33,7
155,1364,53,fountain_right,yellow,right,33,7
156,1356,63,fountain_right,yellow,right,33,7
157,1355,46,branch_right,yellow,right,33,7
158,1341,56,fountain_right,yellow,right,33,7
159,1332,54,fountain_right,yellow,right,33,7
160,1328,50,fountain_right,yellow,right,33,7
161,1333,44,branch_right,yellow,right,33,7
162,1331,40,branch_right,yellow,right,33,7
163,1331,48,fountain_right,yellow,right,33,7
164,1337,48,fountain_right,yellow,right,33,7
165,1340,49,fountain_right,yellow,right,33,7
166,1354,53,fountain_right,yellow,right,33,7
167,1362,39,branch_right,yellow,right,33,7
168,1362,51,fountain_right,yellow,right,33,7
169,1372,51,branch_right,yellow,right,33,7
170,1382,58,fountain_right,yellow,right,33,7
171,1388,59,fountain_right,yellow,right,33,7
172,1386,77,fountain_right,yellow,right,33,7
173,1386,77,fountain_right,yellow,right,33,7
174,1386,75,fountain_right,yellow,right,33,7
175,1388,64,fountain_right,yellow,right,33,7
