t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,720,305,capture,yellow,right,5,8
1,724,302,capture,yellow,right,5,8
2,765,306,capture,yellow,right,5,8
3,790,347,capture,yellow,right,5,8
4,789,355,capture,yellow,right,5,8
5,784,358,capture,yellow,right,5,8
6,777,365,capture,yellow,right,5,8
7,801,373,capture,yellow,right,5,8
8,813,385,capture,yellow,right,5,8
9,831,391,gate,yellow,right,5,8
10,864,409,gate_test,yellow,right,5,8
11,866,417,gate_test,yellow,right,5,8
12,889,413,gate_test,yellow,right,5,8
13,911,418,gate_test,yellow,right,5,8
14,945,417,gate_test,yellow,right,5,8
15,977,409,test,yellow,right,5,8
16,1000,417,test,yellow,right,5,8
17,1010,417,test,yellow,right,5,8
18,1041,419,test,yellow,right,5,8
19,1085,409,test,yellow,right,5,8
20,1103,408,test,yellow,right,5,8
21,1143,404,test,yellow,right,5,8
22,1168,398,test,yellow,right,5,8
23,1191,402,test,yellow,right,5,8
24,1198,395,test,yellow,right,5,8
25,1199,376,test,yellow,right,5,8
26,1194,365,test,yellow,right,5,8
27,1206,354,test,yellow,right,5,8
28,1229,329,branch_right,yellow,right,5,8
29,1248,308,branch_right,yellow,right,5,8
30,1264,293,branch_right,yellow,right,5,8
31,1273,274,branch_right,yellow,right,5,8
32,1278,261,branch_right,yellow,right,5,8
33,1289,243,branch_right,yellow,right,5,8
34,1301,219,branch_right,yellow,right,5,8
35,1299,203,branch_right,yellow,right,5,8
36,1302,172,branch_right,yellow,right,5,8
37,1307,163,branch_right,yellow,right,5,8
38,1315,138,fountain_right,yellow,right,5,8
39,1315,110,fountain_right,yellow,right,5,8
40,1332,82,fountain_right,yellow,right,5,8
41,1335,81,fountain_right,yellow,right,5,8
42,1348,86,fountain_right,yellow,right,5,8
43,1363,94,fountain_right,yellow,right,5,8
44,1375,100,fountain_right,yellow,right,5,8
45,1382,97,fountain_right,yellow,right,5,8
46,1384,99,fountain_right,yellow,right,5,8
47,1372,102,fountain_right,yellow,right,5,8
48,1364,106,fountain_right,yellow,right,5,8
49,1365,107,fountain_right,yellow,right,5,8
50,1364,99,fountain_right,yellow,right,5,8
51,1363,100,fountain_right,yellow,right,5,8
52,1354,92,fountain_right,yellow,right,5,8
53,1339,75,fountain_right,yellow,right,5,8
54,1322,67,fountain_right,yellow,right,5,8
55,1318,76,fountain_right,yellow,right,5,8
56,1319,86,fountain_right,yellow,right,5,8
57,1324,97,fountain_right,yellow,right,5,8
58,1319,122,fountain_right,yellow,right,5,8
59,1300,135,fountain_right,yellow,right,5,8
60,1283,158,branch_right,yellow,right,5,8
61,1255,179,branch_right,yellow,right,5,8
62,1243,197,branch_right,yellow,right,5,8
63,1238,222,branch_right,yellow,right,5,8
64,1244,239,branch_right,yellow,right,5,8
65,1244,263,branch_right,yellow,right,5,8
66,1240,295,branch_right,yellow,right,5,8
67,1241,325,branch_right,yellow,right,5,8
68,1221,340,test,yellow,right,5,8
69,1201,366,test,yellow,right,5,8
70,1193,384,test,yellow,right,5,8
71,1185,397,test,yellow,right,5,8
72,1167,398,test,yellow,right,5,8
73,1163,393,test,yellow,right,5,8
74,1138,396,test,yellow,right,5,8
75,1131,399,test,yellow,right,5,8
76,1088,400,test,yellow,right,5,8
77,1097,407,test,yellow,right,5,8
78,1062,400,test,yellow,right,5,8
79,1058,411,test,yellow,right,5,8
80,1008,417,test,yellow,right,5,8
81,993,428,test,yellow,right,5,8
82,958,418,gate_test,yellow,right,5,8
83,948,419,gate_test,yellow,right,5,8
84,935,419,gate_test,yellow,right,5,8
85,909,421,gate_test,yellow,right,5,8
86,900,422,gate_test,yellow,right,5,8
87,902,421,gate_test,yellow,right,5,8
88,892,412,gate_test,yellow,right,5,8
89,850,396,gate,yellow,right,5,8
90,824,383,point outside of all zones,yellow,right,5,8
91,793,362,capture,yellow,right,5,8
