t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,765,297,capture,yellow,right,3,22
1,794,326,capture,yellow,right,3,22
2,822,353,capture,yellow,right,3,22
3,824,351,capture,yellow,right,3,22
4,822,351,capture,yellow,right,3,22
5,822,349,capture,yellow,right,3,22
6,824,349,capture,yellow,right,3,22
7,824,349,capture,yellow,right,3,22
8,824,351,capture,yellow,right,3,22
9,829,352,capture,yellow,right,3,22
10,825,353,capture,yellow,right,3,22
11,827,354,capture,yellow,right,3,22
12,826,354,capture,yellow,right,3,22
13,826,356,capture,yellow,right,3,22
14,828,358,capture,yellow,right,3,22
15,831,360,capture,yellow,right,3,22
16,834,361,capture,yellow,right,3,22
17,835,364,capture,yellow,right,3,22
18,834,363,capture,yellow,right,3,22
19,834,358,capture,yellow,right,3,22
20,836,359,capture,yellow,right,3,22
21,839,357,capture,yellow,right,3,22
22,838,359,capture,yellow,right,3,22
23,841,357,capture,yellow,right,3,22
24,840,358,capture,yellow,right,3,22
25,839,359,capture,yellow,right,3,22
26,838,359,capture,yellow,right,3,22
27,838,366,capture,yellow,right,3,22
28,844,367,capture,yellow,right,3,22
29,852,370,gate_test,yellow,right,3,22
30,850,371,gate_test,yellow,right,3,22
31,858,373,gate_test,yellow,right,3,22
32,862,371,gate_test,yellow,right,3,22
33,865,373,gate_test,yellow,right,3,22
34,866,382,gate_test,yellow,right,3,22
35,867,383,gate_test,yellow,right,3,22
36,867,381,gate_test,yellow,right,3,22
37,877,386,gate_test,yellow,right,3,22
38,872,386,gate_test,yellow,right,3,22
39,866,391,gate_test,yellow,right,3,22
40,871,395,gate_test,yellow,right,3,22
41,873,398,gate_test,yellow,right,3,22
42,887,402,gate_test,yellow,right,3,22
43,890,401,gate_test,yellow,right,3,22
44,891,402,gate_test,yellow,right,3,22
45,891,402,gate_test,yellow,right,3,22
46,891,403,gate_test,yellow,right,3,22
47,894,405,gate_test,yellow,right,3,22
48,900,404,gate_test,yellow,right,3,22
49,899,405,gate_test,yellow,right,3,22
50,899,404,gate_test,yellow,right,3,22
51,881,403,gate_test,yellow,right,3,22
52,878,406,gate_test,yellow,right,3,22
53,880,404,gate_test,yellow,right,3,22
54,888,400,gate_test,yellow,right,3,22
55,899,402,gate_test,yellow,right,3,22
