t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,709,252,capture,yellow,left,25,4
1,714,270,capture,yellow,left,25,4
2,715,293,capture,yellow,left,25,4
3,720,275,capture,yellow,left,25,4
4,721,276,capture,yellow,left,25,4
5,720,283,capture,yellow,left,25,4
6,722,273,capture,yellow,left,25,4
7,722,274,capture,yellow,left,25,4
8,723,271,capture,yellow,left,25,4
9,723,272,capture,yellow,left,25,4
10,723,266,capture,yellow,left,25,4
11,723,265,capture,yellow,left,25,4
12,724,263,capture,yellow,left,25,4
13,728,270,capture,yellow,left,25,4
14,728,270,capture,yellow,left,25,4
15,723,262,capture,yellow,left,25,4
16,723,262,capture,yellow,left,25,4
17,724,261,capture,yellow,left,25,4
18,723,263,capture,yellow,left,25,4
19,725,272,capture,yellow,left,25,4
20,724,272,capture,yellow,left,25,4
21,723,273,capture,yellow,left,25,4
22,722,274,capture,yellow,left,25,4
23,724,278,capture,yellow,left,25,4
24,724,275,capture,yellow,left,25,4
25,719,280,capture,yellow,left,25,4
26,714,281,capture,yellow,left,25,4
27,712,275,capture,yellow,left,25,4
28,708,272,capture,yellow,left,25,4
29,709,272,capture,yellow,left,25,4
30,710,270,capture,yellow,left,25,4
31,710,271,capture,yellow,left,25,4
32,708,269,capture,yellow,left,25,4
33,711,269,capture,yellow,left,25,4
34,705,267,capture,yellow,left,25,4
35,706,269,capture,yellow,left,25,4
36,706,269,capture,yellow,left,25,4
37,700,263,capture,yellow,left,25,4
38,695,261,capture,yellow,left,25,4
39,692,260,capture,yellow,left,25,4
40,695,263,capture,yellow,left,25,4
41,693,263,capture,yellow,left,25,4
42,693,263,capture,yellow,left,25,4
43,691,263,capture,yellow,left,25,4
44,682,261,capture,yellow,left,25,4
45,681,262,capture,yellow,left,25,4
46,680,257,capture,yellow,left,25,4
47,684,259,capture,yellow,left,25,4
48,683,255,capture,yellow,left,25,4
49,689,267,capture,yellow,left,25,4
50,689,267,capture,yellow,left,25,4
51,693,255,capture,yellow,left,25,4
52,692,253,capture,yellow,left,25,4
53,692,264,capture,yellow,left,25,4
54,691,249,capture,yellow,left,25,4
55,692,249,capture,yellow,left,25,4
56,695,245,capture,yellow,left,25,4
57,695,248,capture,yellow,left,25,4
58,696,253,capture,yellow,left,25,4
59,695,246,capture,yellow,left,25,4
60,694,248,capture,yellow,left,25,4
61,698,246,capture,yellow,left,25,4
62,700,247,capture,yellow,left,25,4
63,700,247,capture,yellow,left,25,4
64,700,248,capture,yellow,left,25,4
65,701,248,capture,yellow,left,25,4
66,703,255,capture,yellow,left,25,4
67,703,248,capture,yellow,left,25,4
68,703,249,capture,yellow,left,25,4
69,704,248,capture,yellow,left,25,4
70,705,248,capture,yellow,left,25,4
71,706,248,capture,yellow,left,25,4
72,706,247,capture,yellow,left,25,4
73,705,244,capture,yellow,left,25,4
74,706,244,capture,yellow,left,25,4
75,707,244,capture,yellow,left,25,4
76,706,246,capture,yellow,left,25,4
77,705,245,capture,yellow,left,25,4
78,705,245,capture,yellow,left,25,4
79,702,246,capture,yellow,left,25,4
80,701,246,capture,yellow,left,25,4
81,699,246,capture,yellow,left,25,4
82,700,249,capture,yellow,left,25,4
83,701,250,capture,yellow,left,25,4
84,700,250,capture,yellow,left,25,4
85,701,251,capture,yellow,left,25,4
86,702,252,capture,yellow,left,25,4
87,705,254,capture,yellow,left,25,4
88,708,256,capture,yellow,left,25,4
89,713,255,capture,yellow,left,25,4
90,714,271,capture,yellow,left,25,4
91,717,273,capture,yellow,left,25,4
92,729,266,capture,yellow,left,25,4
93,732,266,capture,yellow,left,25,4
94,735,266,capture,yellow,left,25,4
95,735,266,capture,yellow,left,25,4
96,721,270,capture,yellow,left,25,4
97,713,259,capture,yellow,left,25,4
98,709,254,capture,yellow,left,25,4
99,710,261,capture,yellow,left,25,4
100,703,251,capture,yellow,left,25,4
101,702,252,capture,yellow,left,25,4
102,706,266,capture,yellow,left,25,4
103,702,270,capture,yellow,left,25,4
104,699,267,capture,yellow,left,25,4
105,693,271,capture,yellow,left,25,4
106,696,259,capture,yellow,left,25,4
107,674,263,capture,yellow,left,25,4
108,673,271,capture,yellow,left,25,4
109,662,265,capture,yellow,left,25,4
110,653,255,capture,yellow,left,25,4
111,650,254,capture,yellow,left,25,4
112,647,258,capture,yellow,left,25,4
113,641,257,capture,yellow,left,25,4
114,639,252,capture,yellow,left,25,4
115,651,260,capture,yellow,left,25,4
116,638,256,capture,yellow,left,25,4
117,652,261,capture,yellow,left,25,4
118,651,259,capture,yellow,left,25,4
119,668,273,capture,yellow,left,25,4
120,665,278,capture,yellow,left,25,4
121,690,305,capture,yellow,left,25,4
122,690,305,capture,yellow,left,25,4
123,716,315,capture,yellow,left,25,4
124,728,321,capture,yellow,left,25,4
125,752,333,capture,yellow,left,25,4
126,754,337,capture,yellow,left,25,4
127,754,337,capture,yellow,left,25,4
128,792,354,capture,yellow,left,25,4
129,807,369,capture,yellow,left,25,4
130,814,361,capture,yellow,left,25,4
131,823,377,capture,yellow,left,25,4
132,827,381,point outside of all zones,yellow,left,25,4
133,829,396,gate,yellow,left,25,4
134,816,367,capture,yellow,left,25,4
135,814,368,capture,yellow,left,25,4
136,811,364,capture,yellow,left,25,4
137,819,350,capture,yellow,left,25,4
138,816,349,capture,yellow,left,25,4
139,816,349,capture,yellow,left,25,4
140,806,334,capture,yellow,left,25,4
141,787,325,capture,yellow,left,25,4
142,792,305,capture,yellow,left,25,4
143,759,315,capture,yellow,left,25,4
144,747,296,capture,yellow,left,25,4
145,747,296,capture,yellow,left,25,4
146,718,268,capture,yellow,left,25,4
147,713,261,capture,yellow,left,25,4
148,686,266,capture,yellow,left,25,4
149,675,260,capture,yellow,left,25,4
150,655,253,capture,yellow,left,25,4
151,642,265,capture,yellow,left,25,4
152,640,261,capture,yellow,left,25,4
153,629,264,capture,yellow,left,25,4
154,621,262,capture,yellow,left,25,4
155,626,253,capture,yellow,left,25,4
156,646,258,capture,yellow,left,25,4
157,641,254,capture,yellow,left,25,4
158,634,260,capture,yellow,left,25,4
159,621,242,capture,yellow,left,25,4
160,645,263,capture,yellow,left,25,4
161,650,265,capture,yellow,left,25,4
162,656,267,capture,yellow,left,25,4
163,667,258,capture,yellow,left,25,4
164,676,257,capture,yellow,left,25,4
165,677,254,capture,yellow,left,25,4
166,691,256,capture,yellow,left,25,4
167,695,252,capture,yellow,left,25,4
168,696,256,capture,yellow,left,25,4
169,689,262,capture,yellow,left,25,4
170,687,263,capture,yellow,left,25,4
171,673,257,capture,yellow,left,25,4
172,668,255,capture,yellow,left,25,4
173,666,256,capture,yellow,left,25,4
174,659,268,capture,yellow,left,25,4
175,660,267,capture,yellow,left,25,4
176,650,256,capture,yellow,left,25,4
177,639,256,capture,yellow,left,25,4
178,639,257,capture,yellow,left,25,4
179,637,256,capture,yellow,left,25,4
180,640,257,capture,yellow,left,25,4
181,641,257,capture,yellow,left,25,4
182,646,263,capture,yellow,left,25,4
183,650,263,capture,yellow,left,25,4
184,650,261,capture,yellow,left,25,4
185,647,256,capture,yellow,left,25,4
186,645,254,capture,yellow,left,25,4
187,648,259,capture,yellow,left,25,4
188,645,256,capture,yellow,left,25,4
189,649,260,capture,yellow,left,25,4
190,647,262,capture,yellow,left,25,4
191,643,266,capture,yellow,left,25,4
192,645,266,capture,yellow,left,25,4
193,644,267,capture,yellow,left,25,4
194,649,264,capture,yellow,left,25,4
195,647,258,capture,yellow,left,25,4
196,647,255,capture,yellow,left,25,4
197,644,261,capture,yellow,left,25,4
198,665,267,capture,yellow,left,25,4
199,662,252,capture,yellow,left,25,4
200,667,251,capture,yellow,left,25,4
201,672,249,capture,yellow,left,25,4
202,678,252,capture,yellow,left,25,4
203,690,255,capture,yellow,left,25,4
204,708,264,capture,yellow,left,25,4
205,701,262,capture,yellow,left,25,4
206,691,252,capture,yellow,left,25,4
207,686,253,capture,yellow,left,25,4
208,673,255,capture,yellow,left,25,4
209,654,255,capture,yellow,left,25,4
210,651,263,capture,yellow,left,25,4
211,648,258,capture,yellow,left,25,4
212,640,260,capture,yellow,left,25,4
213,638,263,capture,yellow,left,25,4
214,636,261,capture,yellow,left,25,4
215,641,268,capture,yellow,left,25,4
216,636,256,capture,yellow,left,25,4
217,634,254,capture,yellow,left,25,4
218,629,261,capture,yellow,left,25,4
219,622,264,capture,yellow,left,25,4
220,639,263,capture,yellow,left,25,4
221,642,265,capture,yellow,left,25,4
222,653,267,capture,yellow,left,25,4
223,651,269,capture,yellow,left,25,4
224,656,272,capture,yellow,left,25,4
225,657,275,capture,yellow,left,25,4
226,659,275,capture,yellow,left,25,4
227,673,276,capture,yellow,left,25,4
228,685,286,capture,yellow,left,25,4
229,696,305,capture,yellow,left,25,4
230,714,305,capture,yellow,left,25,4
231,726,313,capture,yellow,left,25,4
232,749,340,capture,yellow,left,25,4
233,756,335,capture,yellow,left,25,4
234,778,350,capture,yellow,left,25,4
235,791,362,capture,yellow,left,25,4
236,795,366,capture,yellow,left,25,4
237,817,366,capture,yellow,left,25,4
238,822,388,gate,yellow,left,25,4
239,825,379,capture,yellow,left,25,4
240,807,354,capture,yellow,left,25,4
241,816,355,capture,yellow,left,25,4
242,816,354,capture,yellow,left,25,4
243,814,343,capture,yellow,left,25,4
244,810,335,capture,yellow,left,25,4
245,803,328,capture,yellow,left,25,4
246,802,326,capture,yellow,left,25,4
247,787,322,capture,yellow,left,25,4
248,783,307,capture,yellow,left,25,4
249,782,306,capture,yellow,left,25,4
250,766,293,capture,yellow,left,25,4
251,774,286,capture,yellow,left,25,4
252,742,291,capture,yellow,left,25,4
253,732,278,capture,yellow,left,25,4
254,705,247,capture,yellow,left,25,4
255,695,262,capture,yellow,left,25,4
256,695,262,capture,yellow,left,25,4
257,695,262,capture,yellow,left,25,4
