t.f,x.px,y.px,comp,coul.renforcee,cote.renforce,id.bourdon,essai
0,792,316,capture,yellow,left,5,6
1,782,327,capture,yellow,left,5,6
2,788,348,capture,yellow,left,5,6
3,794,349,capture,yellow,left,5,6
4,801,352,capture,yellow,left,5,6
5,801,354,capture,yellow,left,5,6
6,818,354,capture,yellow,left,5,6
7,825,361,capture,yellow,left,5,6
8,835,374,capture,yellow,left,5,6
9,834,379,gate,yellow,left,5,6
10,842,392,gate,yellow,left,5,6
11,863,398,gate_test,yellow,left,5,6
12,898,409,gate_test,yellow,left,5,6
13,905,419,gate_test,yellow,left,5,6
14,930,409,gate_test,yellow,left,5,6
15,948,420,gate_test,yellow,left,5,6
16,992,410,test,yellow,left,5,6
17,1032,405,test,yellow,left,5,6
18,1057,415,test,yellow,left,5,6
19,1078,405,test,yellow,left,5,6
20,1109,404,test,yellow,left,5,6
21,1146,409,test,yellow,left,5,6
22,1178,405,test,yellow,left,5,6
23,1192,392,test,yellow,left,5,6
24,1202,413,test,yellow,left,5,6
25,1212,436,test,yellow,left,5,6
26,1225,452,test,yellow,left,5,6
27,1259,488,branch_left,yellow,left,5,6
28,1263,523,branch_left,yellow,left,5,6
29,1271,554,branch_left,yellow,left,5,6
30,1302,586,branch_left,yellow,left,5,6
31,1314,602,branch_left,yellow,left,5,6
32,1351,623,branch_left,yellow,left,5,6
33,1372,636,branch_left,yellow,left,5,6
34,1410,644,fountain_left,yellow,left,5,6
35,1425,662,fountain_left,yellow,left,5,6
36,1416,662,fountain_left,yellow,left,5,6
37,1412,665,fountain_left,yellow,left,5,6
38,1397,673,fountain_left,yellow,left,5,6
39,1384,682,fountain_left,yellow,left,5,6
40,1361,707,fountain_left,yellow,left,5,6
41,1346,709,fountain_left,yellow,left,5,6
42,1344,703,fountain_left,yellow,left,5,6
43,1335,691,fountain_left,yellow,left,5,6
44,1330,678,fountain_left,yellow,left,5,6
45,1344,663,branch_left,yellow,left,5,6
46,1306,646,branch_left,yellow,left,5,6
47,1305,616,branch_left,yellow,left,5,6
48,1297,590,branch_left,yellow,left,5,6
49,1277,557,branch_left,yellow,left,5,6
50,1260,536,branch_left,yellow,left,5,6
51,1240,520,branch_left,yellow,left,5,6
52,1242,485,branch_left,yellow,left,5,6
53,1246,453,test,yellow,left,5,6
54,1225,457,test,yellow,left,5,6
55,1210,423,test,yellow,left,5,6
56,1190,410,test,yellow,left,5,6
57,1205,386,test,yellow,left,5,6
58,1214,352,test,yellow,left,5,6
59,1226,326,branch_right,yellow,left,5,6
60,1228,285,branch_right,yellow,left,5,6
61,1249,255,branch_right,yellow,left,5,6
62,1257,214,branch_right,yellow,left,5,6
63,1269,185,branch_right,yellow,left,5,6
64,1264,168,branch_right,yellow,left,5,6
65,1263,168,branch_right,yellow,left,5,6
66,1264,181,branch_right,yellow,left,5,6
67,1256,186,branch_right,yellow,left,5,6
68,1269,200,branch_right,yellow,left,5,6
69,1254,199,branch_right,yellow,left,5,6
70,1247,209,branch_right,yellow,left,5,6
71,1231,234,branch_right,yellow,left,5,6
72,1244,231,branch_right,yellow,left,5,6
73,1235,269,branch_right,yellow,left,5,6
74,1233,288,branch_right,yellow,left,5,6
75,1225,309,branch_right,yellow,left,5,6
76,1207,335,test,yellow,left,5,6
77,1187,363,test,yellow,left,5,6
78,1189,369,test,yellow,left,5,6
79,1158,411,test,yellow,left,5,6
85,1076,403,test,yellow,left,5,6
86,1052,412,test,yellow,left,5,6
87,1016,421,test,yellow,left,5,6
88,1025,413,test,yellow,left,5,6
89,1017,407,test,yellow,left,5,6
90,988,409,test,yellow,left,5,6
91,972,409,gate_test,yellow,left,5,6
92,999,421,test,yellow,left,5,6
93,979,420,test,yellow,left,5,6
94,977,434,test,yellow,left,5,6
95,977,431,test,yellow,left,5,6
96,956,431,gate_test,yellow,left,5,6
97,996,415,test,yellow,left,5,6
98,983,420,test,yellow,left,5,6
99,996,431,test,yellow,left,5,6
100,995,439,test,yellow,left,5,6
101,1006,419,test,yellow,left,5,6
102,1011,414,test,yellow,left,5,6
103,1012,408,test,yellow,left,5,6
104,1025,392,test,yellow,left,5,6
105,1024,417,test,yellow,left,5,6
106,1049,390,test,yellow,left,5,6
107,1056,413,test,yellow,left,5,6
108,1082,415,test,yellow,left,5,6
109,1110,412,test,yellow,left,5,6
110,1164,417,test,yellow,left,5,6
111,1209,433,test,yellow,left,5,6
112,1217,447,test,yellow,left,5,6
113,1224,464,test,yellow,left,5,6
114,1252,516,branch_left,yellow,left,5,6
115,1266,529,branch_left,yellow,left,5,6
116,1299,568,branch_left,yellow,left,5,6
117,1323,592,branch_left,yellow,left,5,6
118,1347,641,branch_left,yellow,left,5,6
119,1350,655,branch_left,yellow,left,5,6
120,1350,655,branch_left,yellow,left,5,6
121,1346,655,branch_left,yellow,left,5,6
122,1345,655,branch_left,yellow,left,5,6
123,1346,655,branch_left,yellow,left,5,6
124,1345,658,branch_left,yellow,left,5,6
125,1350,655,branch_left,yellow,left,5,6
126,1360,657,fountain_left,yellow,left,5,6
127,1382,654,fountain_left,yellow,left,5,6
128,1377,648,fountain_left,yellow,left,5,6
129,1375,648,fountain_left,yellow,left,5,6
130,1378,649,fountain_left,yellow,left,5,6
131,1378,652,fountain_left,yellow,left,5,6
132,1379,653,fountain_left,yellow,left,5,6
133,1374,648,branch_left,yellow,left,5,6
134,1378,651,fountain_left,yellow,left,5,6
135,1379,656,fountain_left,yellow,left,5,6
136,1379,654,fountain_left,yellow,left,5,6
137,1373,654,fountain_left,yellow,left,5,6
138,1388,657,fountain_left,yellow,left,5,6
139,1393,662,fountain_left,yellow,left,5,6
140,1412,676,fountain_left,yellow,left,5,6
141,1413,676,fountain_left,yellow,left,5,6
142,1459,677,fountain_left,yellow,left,5,6
143,1452,663,fountain_left,yellow,left,5,6
144,1409,651,fountain_left,yellow,left,5,6
145,1403,643,fountain_left,yellow,left,5,6
146,1376,593,branch_left,yellow,left,5,6
147,1383,570,branch_left,yellow,left,5,6
148,1345,546,branch_left,yellow,left,5,6
149,1326,533,branch_left,yellow,left,5,6
150,1287,484,branch_left,yellow,left,5,6
151,1254,468,branch_left,yellow,left,5,6
152,1232,440,test,yellow,left,5,6
153,1209,366,test,yellow,left,5,6
154,1225,337,branch_right,yellow,left,5,6
155,1256,271,branch_right,yellow,left,5,6
156,1268,235,branch_right,yellow,left,5,6
157,1315,170,branch_right,yellow,left,5,6
158,1337,147,fountain_right,yellow,left,5,6
159,1337,127,fountain_right,yellow,left,5,6
160,1329,121,fountain_right,yellow,left,5,6
161,1344,93,fountain_right,yellow,left,5,6
162,1356,82,fountain_right,yellow,left,5,6
163,1366,88,fountain_right,yellow,left,5,6
164,1365,78,fountain_right,yellow,left,5,6
165,1353,83,fountain_right,yellow,left,5,6
166,1343,66,fountain_right,yellow,left,5,6
167,1332,60,fountain_right,yellow,left,5,6
168,1333,48,fountain_right,yellow,left,5,6
169,1339,53,fountain_right,yellow,left,5,6
170,1326,52,fountain_right,yellow,left,5,6
171,1310,58,fountain_right,yellow,left,5,6
172,1309,65,fountain_right,yellow,left,5,6
173,1283,81,fountain_right,yellow,left,5,6
174,1295,72,fountain_right,yellow,left,5,6
175,1298,68,fountain_right,yellow,left,5,6
176,1300,52,fountain_right,yellow,left,5,6
177,1306,46,fountain_right,yellow,left,5,6
178,1301,43,fountain_right,yellow,left,5,6
179,1297,47,fountain_right,yellow,left,5,6
180,1290,61,fountain_right,yellow,left,5,6
181,1289,59,fountain_right,yellow,left,5,6
182,1298,69,fountain_right,yellow,left,5,6
183,1294,69,fountain_right,yellow,left,5,6
184,1284,76,fountain_right,yellow,left,5,6
185,1272,79,fountain_right,yellow,left,5,6
186,1274,86,fountain_right,yellow,left,5,6
187,1256,108,branch_right,yellow,left,5,6
188,1258,111,branch_right,yellow,left,5,6
189,1277,112,fountain_right,yellow,left,5,6
190,1275,104,fountain_right,yellow,left,5,6
191,1266,98,fountain_right,yellow,left,5,6
192,1266,89,branch_right,yellow,left,5,6
193,1269,81,branch_right,yellow,left,5,6
